# command: /Users/vishnu/molecular/build/apps/moldyn_run --nist-config /Users/vishnu/molecular/data/nist/lj
# git_sha: cb505dc
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = m = 1)
# tolerance: per-value, half a unit in NIST's own 5th published significant figure
#            (the *_tol columns; *_dev and *_tol are both relative, so dev/tol is the
#            fraction of the reference's own precision used). The ulrc columns for the
#            LFS rows are absolute instead: NIST's U_LRC there is an exact structural
#            zero, not a rounded measurement, so it is checked against 1e-9 absolute.
# source: NIST Standard Reference Simulation Website, Lennard-Jones fluid
#         reference calculations, cuboid cell -- see data/nist/README.md
cfg,trunc,rc,u_calc,u_ref,u_dev,u_tol,w_calc,w_ref,w_dev,w_tol,ulrc_calc,ulrc_ref,ulrc_dev,ulrc_tol,status
1,LRC,3.0000e+00,-4.3515e+03,-4.3515e+03,9.2369e-06,1.1490e-05,-5.6867e+02,-5.6867e+02,7.9742e-06,8.7924e-06,-1.9849e+02,-1.9849e+02,5.6237e-06,2.5190e-05,PASS
1,LRC,4.0000e+00,-4.4675e+03,-4.4675e+03,9.5692e-07,1.1192e-05,-1.2639e+03,-1.2639e+03,1.3156e-05,3.9560e-05,-8.3769e+01,-8.3769e+01,1.6231e-07,5.9688e-06,PASS
1,LFS,3.0000e+00,-3.8709e+03,-3.8709e+03,6.4289e-06,1.2917e-05,3.1754e+02,3.1754e+02,5.2088e-06,1.5746e-05,0.0000e+00,0.0000e+00,0.0000e+00,1.0000e-09,PASS
2,LRC,3.0000e+00,-6.9000e+02,-6.9000e+02,5.8626e-06,7.2464e-06,-5.6846e+02,-5.6846e+02,4.6780e-06,8.7957e-06,-2.4230e+01,-2.4230e+01,1.6506e-05,2.0636e-05,PASS
2,LRC,4.0000e+00,-7.0460e+02,-7.0460e+02,4.7115e-06,7.0962e-06,-6.5599e+02,-6.5599e+02,3.7185e-06,7.6221e-06,-1.0226e+01,-1.0226e+01,2.8716e-05,4.8895e-05,PASS
2,LFS,3.0000e+00,-6.2012e+02,-6.2012e+02,2.2415e-07,8.0630e-06,-4.4533e+02,-4.4533e+02,2.3569e-06,1.1228e-05,0.0000e+00,0.0000e+00,0.0000e+00,1.0000e-09,PASS
3,LRC,3.0000e+00,-1.1467e+03,-1.1467e+03,2.8411e-05,4.3603e-05,-1.1649e+03,-1.1649e+03,4.2622e-05,4.2922e-05,-4.9622e+01,-4.9622e+01,4.4524e-06,1.0076e-05,PASS
3,LRC,4.0000e+00,-1.1754e+03,-1.1754e+03,1.6533e-05,4.2539e-05,-1.3371e+03,-1.3371e+03,1.9574e-06,3.7394e-05,-2.0942e+01,-2.0942e+01,1.1775e-05,2.3875e-05,PASS
3,LFS,3.0000e+00,-1.0210e+03,-1.0210e+03,3.3587e-05,4.8972e-05,-9.3578e+02,-9.3578e+02,2.9909e-06,5.3431e-06,0.0000e+00,0.0000e+00,0.0000e+00,1.0000e-09,PASS
4,LRC,3.0000e+00,-1.6790e+01,-1.6790e+01,1.9137e-05,2.9780e-05,-4.6249e+01,-4.6249e+01,4.2541e-06,1.0811e-05,-5.4517e-01,-5.4517e-01,7.3344e-06,9.1715e-06,PASS
4,LRC,4.0000e+00,-1.7060e+01,-1.7060e+01,2.6566e-05,2.9308e-05,-4.7869e+01,-4.7869e+01,3.5891e-06,1.0445e-05,-2.3008e-01,-2.3008e-01,6.9853e-06,2.1732e-05,PASS
4,LFS,3.0000e+00,-1.5001e+01,-1.5001e+01,2.6817e-05,3.3331e-05,-4.3096e+01,-4.3096e+01,1.2853e-07,1.1602e-05,0.0000e+00,0.0000e+00,0.0000e+00,1.0000e-09,PASS
