# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.001 --equilibrate 0 --production 1000 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.001.csv
# git_sha: dd6f8b8
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
0,0,start,-574.6360249,152.6408823,-421.9951426,0.9510335345,-4.907078898
1,0.001,production,-574.6302998,152.635156,-421.9951438,0.9509978568,-4.906668052
2,0.002,production,-574.6131113,152.6179644,-421.995147,0.9508907437,-4.905435178
3,0.003,production,-574.5844219,152.5892697,-421.9951522,0.9507119608,-4.903379325
4,0.004,production,-574.5441701,152.5490107,-421.9951595,0.9504611256,-4.900498935
5,0.005,production,-574.4922706,152.4971018,-421.9951688,0.950137706,-4.896791843
6,0.006,production,-574.428614,152.4334339,-421.9951801,0.9497410211,-4.89225528
7,0.007,production,-574.353067,152.3578735,-421.9951935,0.9492702396,-4.886885872
8,0.008,production,-574.265472,152.2702631,-421.995209,0.9487243804,-4.880679637
9,0.009,production,-574.1656475,152.170421,-421.9952265,0.9481023112,-4.873631992
10,0.01,production,-574.0533874,152.0581412,-421.9952462,0.9474027488,-4.865737749
11,0.011,production,-573.9284613,151.9331934,-421.9952679,0.9466242579,-4.856991121
12,0.012,production,-573.7906146,151.7953228,-421.9952918,0.9457652514,-4.847385723
13,0.013,production,-573.6395681,151.6442503,-421.9953178,0.9448239895,-4.836914575
14,0.014,production,-573.4750179,151.479672,-421.9953459,0.9437985795,-4.82557011
15,0.015,production,-573.2966358,151.3012596,-421.9953761,0.9426869759,-4.813344174
16,0.016,production,-573.1040688,151.1086603,-421.9954085,0.9414869801,-4.800228038
17,0.017,production,-572.8969397,150.9014966,-421.9954431,0.9401962405,-4.786212404
18,0.018,production,-572.6748464,150.6793666,-421.9954798,0.9388122528,-4.771287414
19,0.019,production,-572.4373625,150.4418437,-421.9955189,0.9373323593,-4.755443372
20,0.02,production,-572.1840362,150.1884762,-421.9955599,0.9357537461,-4.738670806
21,0.021,production,-571.914392,149.9187889,-421.9956031,0.9340734511,-4.720956053
22,0.022,production,-571.6279314,149.6322827,-421.9956487,0.9322883659,-4.702288608
23,0.023,production,-571.3241291,149.3284326,-421.9956965,0.9303952185,-4.682663747
24,0.024,production,-571.0024363,149.0066902,-421.9957461,0.9283905931,-4.662061009
25,0.025,production,-570.6622853,148.6664876,-421.9957978,0.9262709507,-4.640465357
26,0.026,production,-570.3030854,148.3072336,-421.9958519,0.9240326078,-4.617869676
27,0.027,production,-569.9242219,147.928314,-421.9959078,0.9216717385,-4.594259656
28,0.028,production,-569.5250614,147.5290959,-421.9959655,0.9191843984,-4.569616057
29,0.029,production,-569.1049536,147.1089286,-421.996025,0.9165665331,-4.543922455
30,0.03,production,-568.6632294,146.6671427,-421.9960866,0.9138139735,-4.517166552
31,0.031,production,-568.1992004,146.2030505,-421.9961499,0.9109224328,-4.489340326
32,0.032,production,-567.7121623,145.7159474,-421.9962149,0.907887523,-4.46042631
33,0.033,production,-567.2013976,145.2051164,-421.9962813,0.9047047748,-4.43041014
34,0.034,production,-566.6661782,144.6698292,-421.996349,0.9013696521,-4.399272608
35,0.035,production,-566.1057675,144.1093497,-421.9964178,0.8978775685,-4.366997375
36,0.036,production,-565.5194234,143.5229357,-421.9964877,0.8942238983,-4.333569489
37,0.037,production,-564.9063986,142.9098399,-421.9965587,0.8904039871,-4.298979308
38,0.038,production,-564.2659443,142.2693144,-421.9966299,0.8864131739,-4.26321086
39,0.039,production,-563.5973165,141.6006149,-421.9967016,0.8822468218,-4.226247584
40,0.04,production,-562.8997779,140.9030048,-421.9967731,0.8779003417,-4.188075427
41,0.041,production,-562.1726038,140.1757593,-421.9968445,0.8733692169,-4.148680732
42,0.042,production,-561.4150848,139.4181696,-421.9969152,0.8686490316,-4.108052478
43,0.043,production,-560.626533,138.629548,-421.996985,0.8637355016,-4.066179932
44,0.044,production,-559.806287,137.8092337,-421.9970534,0.8586245088,-4.023056332
45,0.045,production,-558.953719,136.9565989,-421.9971201,0.8533121425,-3.978677835
46,0.046,production,-558.0682391,136.0710545,-421.9971846,0.8477947324,-3.933037729
47,0.047,production,-557.1493036,135.1520575,-421.9972461,0.8420688938,-3.886127113
48,0.048,production,-556.1964229,134.1991185,-421.9973044,0.8361315795,-3.837946112
49,0.049,production,-555.209169,133.2118104,-421.9973586,0.8299801272,-3.788492981
50,0.05,production,-554.1871855,132.1897769,-421.9974086,0.8236123172,-3.737772732
51,0.051,production,-553.1301939,131.1327406,-421.9974533,0.8170264215,-3.68578671
52,0.052,production,-552.038004,130.0405118,-421.9974922,0.8102212576,-3.632541944
53,0.053,production,-550.9105234,128.9129988,-421.9975245,0.8031962544,-3.578053018
54,0.054,production,-549.7477684,127.7502187,-421.9975497,0.7959515186,-3.522340112
55,0.055,production,-548.5498723,126.5523051,-421.9975672,0.7884878822,-3.465418121
56,0.056,production,-547.3170925,125.3195164,-421.997576,0.780806956,-3.407309092
57,0.057,production,-546.0498242,124.0522485,-421.9975757,0.7729112054,-3.348043015
58,0.058,production,-544.7486097,122.7510444,-421.9975653,0.7648040151,-3.287652317
59,0.059,production,-543.4141478,121.4166035,-421.9975443,0.7564897413,-3.226171712
60,0.06,production,-542.0473012,120.0497892,-421.9975121,0.7479737642,-3.163644776
61,0.061,production,-540.6491066,118.6516384,-421.9974682,0.7392625443,-3.100119746
62,0.062,production,-539.2207805,117.2233685,-421.997412,0.730363667,-3.035650396
63,0.063,production,-537.7637276,115.7663847,-421.997343,0.7212858857,-2.970294534
64,0.064,production,-536.2795457,114.2822848,-421.9972609,0.7120391576,-2.90411648
65,0.065,production,-534.7700294,112.772864,-421.9971654,0.7026346666,-2.837189288
66,0.066,production,-533.2371729,111.2401164,-421.9970565,0.6930848376,-2.76959071
