# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.002 --equilibrate 0 --production 500 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.002.csv
# git_sha: 29c88d5
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
0,0,start,-574.6360249,152.6408823,-421.9951426,0.9510335345,-4.907078898
1,0.002,production,-574.6131104,152.6179503,-421.9951601,0.9508906561,-4.905435173
2,0.004,production,-574.5441662,152.5489563,-421.99521,0.9504607866,-4.900498901
3,0.006,production,-574.4286051,152.4333126,-421.9952925,0.9497402652,-4.892255193
4,0.008,production,-574.265456,152.2700479,-421.9954081,0.9487230398,-4.880679466
5,0.01,production,-574.0533617,152.0578048,-421.9955569,0.9474006529,-4.865737455
6,0.012,production,-573.7905765,151.7948372,-421.9957393,0.9457622259,-4.847385254
7,0.014,production,-573.4749642,151.4790086,-421.9959557,0.943794446,-4.8255694
8,0.016,production,-573.103996,151.1077897,-421.9962063,0.9414815558,-4.800227003
9,0.018,production,-572.6747501,150.6782587,-421.9964914,0.9388053499,-4.771285945
10,0.02,production,-572.1839114,150.1870993,-421.9968121,0.935745167,-4.738668769
11,0.022,production,-571.6277723,149.6306053,-421.997167,0.9322779149,-4.702285832
12,0.024,production,-571.0022359,149.0046798,-421.9975561,0.9283780675,-4.66205728
13,0.026,production,-570.3028356,148.3048558,-421.9979798,0.9240177932,-4.61786474
14,0.028,production,-569.5247524,147.5263184,-421.998434,0.9191670931,-4.569609581
15,0.03,production,-568.6628497,146.6639313,-421.9989184,0.9137939643,-4.517158148
16,0.032,production,-567.7116986,145.712267,-421.9994317,0.9078645916,-4.460415517
17,0.034,production,-566.6656147,144.6656467,-421.999968,0.9013435932,-4.399258853
18,0.036,production,-565.5187416,143.5182187,-422.0005229,0.8941945093,-4.333552093
19,0.038,production,-564.2651227,142.2640312,-422.0010915,0.8863802567,-4.263189036
20,0.04,production,-562.8987917,140.8971271,-422.0016646,0.8778637205,-4.188048227
21,0.042,production,-561.4139051,139.4116719,-422.0022332,0.8686085474,-4.108018806
22,0.044,production,-559.8048809,137.8020945,-422.0027863,0.8585800283,-4.023014932
23,0.046,production,-558.0665691,136.0632576,-422.0033115,0.8477461533,-3.932987146
24,0.048,production,-556.1944468,134.1906554,-422.0037915,0.8360788497,-3.8378847
25,0.05,production,-554.1848562,132.1806483,-422.0042079,0.8235554412,-3.737698627
26,0.052,production,-552.0352699,130.0307272,-422.0045426,0.8101602943,-3.632453077
27,0.054,production,-549.7445733,127.7398013,-422.0047719,0.7958866128,-3.522234243
28,0.056,production,-547.3133766,125.308499,-422.0048776,0.7807383117,-3.4071838
29,0.058,production,-544.744311,122.739477,-422.0048339,0.7647319441,-3.287505057
30,0.06,production,-542.0423568,120.0377355,-422.0046213,0.7478986639,-3.163472937
31,0.062,production,-539.2151291,117.2109086,-422.0042205,0.7302860348,-3.035451393
32,0.064,production,-536.2731305,114.2695147,-422.0036157,0.7119595932,-2.903887839
33,0.066,production,-533.229945,111.227147,-422.002798,0.6930040312,-2.769330245
34,0.068,production,-530.1023394,108.1005729,-422.0017664,0.6735238189,-2.632426347
35,0.07,production,-526.9102323,104.9097024,-422.0005298,0.6536430059,-2.493900151
36,0.072,production,-523.6765149,101.6774069,-421.9991081,0.6335040926,-2.35456151
37,0.074,production,-520.4267216,98.42919052,-421.9975311,0.6132659845,-2.215299276
38,0.076,production,-517.1885385,95.19269773,-421.9958407,0.5931009205,-2.077064569
39,0.078,production,-513.9911432,91.99705499,-421.9940882,0.5731903738,-1.940844651
40,0.08,production,-510.86441,88.87207833,-421.9923317,0.5537201142,-1.807640405
41,0.082,production,-507.8380148,85.84738212,-421.9906327,0.5348746549,-1.678440256
42,0.084,production,-504.9404917,82.95144056,-421.9890512,0.5168314054,-1.554194639
43,0.086,production,-502.1983159,80.21067305,-421.9876429,0.4997549723,-1.435791362
44,0.088,production,-499.6350601,77.64860661,-421.9864535,0.4837919415,-1.324015741
45,0.09,production,-497.2706939,75.28517699,-421.985517,0.4690665233,-1.219544348
46,0.092,production,-495.1210715,73.13621976,-421.9848518,0.4556773817,-1.122928747
47,0.094,production,-493.1976392,71.21317666,-421.9844625,0.4436958047,-1.034581557
48,0.096,production,-491.5073642,69.52302424,-421.98434,0.4331652601,-0.9547686104
49,0.098,production,-490.052871,68.06840833,-421.9844627,0.4241022326,-0.8836190783
50,0.1,production,-488.832759,66.8479584,-421.9848006,0.4164981832,-0.8211432736
51,0.102,production,-487.8420526,65.85673383,-421.9853188,0.4103223291,-0.7672284038
52,0.104,production,-487.072735,65.08675547,-421.9859796,0.4055249562,-0.7216628828
53,0.106,production,-486.5143253,64.5275796,-421.9867457,0.4020409944,-0.6841506626
54,0.108,production,-486.1544528,64.16687006,-421.9875828,0.399793583,-0.6543288184
55,0.11,production,-485.9793967,63.99093577,-421.9884609,0.3986974191,-0.6317811425
56,0.112,production,-485.9745682,63.98521532,-421.9893529,0.3986617777,-0.6160556088
57,0.114,production,-486.1249378,64.13469952,-421.9902383,0.3995931434,-0.6066760429
58,0.116,production,-486.4153796,64.42427843,-421.9911011,0.4013973734,-0.6031511782
59,0.118,production,-486.8309473,64.83901872,-421.9919286,0.4039814251,-0.6049881995
60,0.12,production,-487.3570951,65.36438255,-421.9927126,0.4072547199,-0.6117019086
61,0.122,production,-487.9798365,65.98638994,-421.9934465,0.4111301554,-0.6228086751
62,0.124,production,-488.6858636,66.69173656,-421.994127,0.4155248384,-0.6378411814
63,0.126,production,-489.4626287,67.46787604,-421.9947527,0.4203605984,-0.6563547845
64,0.128,production,-490.2983912,68.30306817,-421.995323,0.4255642877,-0.6779200368
65,0.13,production,-491.1822432,69.18640502,-421.9958382,0.431067944,-0.7021377891
66,0.132,production,-492.1041171,70.10781538,-421.9963017,0.4368088185,-0.728622342
67,0.134,production,-493.0547631,71.05804746,-421.9967156,0.4427292677,-0.7570065057
68,0.136,production,-494.0257257,72.02864249,-421.9970832,0.4487765887,-0.7869500911
69,0.138,production,-495.009305,73.0118966,-421.9974084,0.4549027825,-0.8181389019
70,0.14,production,-495.9985082,74.00081329,-421.9976949,0.4610642572,-0.8502803152
71,0.142,production,-496.9869986,74.98905148,-421.9979471,0.4672215045,-0.883098038
72,0.144,production,-497.9690403,75.97087146,-421.9981688,0.473338763,-0.916339752
73,0.146,production,-498.9394418,76.94107742,-421.9983644,0.4793836599,-0.9497701135
74,0.148,production,-499.893499,77.89496215,-421.9985368,0.485326867,-0.9831705271
75,0.15,production,-500.8269485,78.82825871,-421.9986898,0.4911417988,-1.016331342
76,0.152,production,-501.7359168,79.73709052,-421.9988263,0.4968043023,-1.049060407
77,0.154,production,-502.6168755,80.61792691,-421.9989486,0.5022923795,-1.081184887
