# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.004 --equilibrate 0 --production 250 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.004.csv
# git_sha: f76287d
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
# temperature_dof: 3N=324 while Langevin drives (equilibration, and Langevin production), 3N-3=321 under the momentum-conserving integrators (NVE, Nose-Hoover), for which the centre-of-mass momentum is re-zeroed at the equilibration/production boundary
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
0,0,start,-574.6360249,152.6408823,-421.9951426,0.9510335345,-4.907078898
1,0.004,production,-574.5441507,152.5487387,-421.995412,0.950459431,-4.900498767
2,0.008,production,-574.2653918,152.2691873,-421.9962045,0.9487176777,-4.880678787
3,0.012,production,-573.7904243,151.7928947,-421.9975296,0.9457501229,-4.847383391
4,0.016,production,-573.1037049,151.1043069,-421.999398,0.941459856,-4.800222886
5,0.02,production,-572.1834129,150.1815912,-422.0018217,0.9357108485,-4.738660659
6,0.024,production,-571.0014352,148.9966281,-422.0048071,0.928327901,-4.662042468
7,0.028,production,-569.5235174,147.5151945,-422.0083228,0.9190977853,-4.569583822
8,0.032,production,-567.7098456,145.6975249,-422.0123207,0.907772741,-4.460372552
9,0.036,production,-565.5160169,143.4993284,-422.0166886,0.8940768123,-4.333482766
10,0.04,production,-562.8948497,140.87359,-422.0212597,0.8777170715,-4.187939735
11,0.044,production,-559.7992597,137.7735061,-422.0257536,0.8584019072,-4.022849683
12,0.048,production,-556.1865454,134.1567651,-422.0297803,0.8358676955,-3.837639421
13,0.052,production,-552.0243345,129.9915404,-422.032794,0.8099161398,-3.632097956
14,0.056,production,-547.29851,125.2643678,-422.0341422,0.7804633509,-3.406682874
15,0.06,production,-542.0225679,119.9894491,-422.0331188,0.7475978136,-3.162785548
16,0.064,production,-536.2474449,114.218357,-422.029088,0.7116408533,-2.902972738
17,0.068,production,-530.0699847,108.0483198,-422.0216649,0.6731982545,-2.631248624
18,0.072,production,-523.6371678,101.6261705,-422.0109972,0.6331848632,-2.353101946
19,0.076,production,-517.1425831,95.14469974,-421.9978834,0.5928018676,-2.075329978
20,0.08,production,-510.8131162,88.82931373,-421.9838025,0.5534536681,-1.805671295
21,0.084,production,-504.8860058,82.91535393,-421.9706519,0.5166065666,-1.552066211
22,0.088,production,-499.5801518,77.61989367,-421.9602581,0.4836130447,-1.321829905
23,0.092,production,-495.0686787,73.11480179,-421.9538769,0.4555439364,-1.120798206
24,0.096,production,-491.4600802,69.50820515,-421.951875,0.4330729293,-0.9527978247
25,0.1,production,-488.7924348,66.83866745,-421.9537673,0.4164402956,-0.8194128229
26,0.104,production,-487.0403071,65.08178093,-421.9585262,0.4054939622,-0.7202215314
27,0.108,production,-486.1299973,64.16502928,-421.9649681,0.3997821139,-0.6531937259
28,0.112,production,-485.9575011,63.9854388,-421.9720623,0.3986631701,-0.6152180592
29,0.116,production,-486.4047027,64.42564538,-421.9790573,0.4014058902,-0.6025846559
30,0.12,production,-487.351616,65.36612031,-421.9854957,0.4072655471,-0.6113697944
31,0.124,production,-488.6843595,66.69321648,-421.9911431,0.4155340591,-0.6377028067
32,0.128,production,-490.299717,68.30380272,-421.9959143,0.4255688643,-0.6779347039
33,0.132,production,-492.1072692,70.10745156,-421.9998177,0.4368065518,-0.7287524914
34,0.136,production,-494.0298725,72.02694057,-422.0029319,0.4487659849,-0.7871621224
35,0.14,production,-496.0029956,73.99762613,-422.0053695,0.4610443996,-0.8505460011
36,0.144,production,-497.9733764,75.96611885,-422.0072575,0.4733091517,-0.9166357989
37,0.148,production,-499.8973231,77.88859818,-422.0087249,0.4852872161,-0.9834784451
38,0.152,production,-501.7389622,79.72908098,-422.0098812,0.4967543987,-1.049364133
39,0.156,production,-503.4686658,81.45785164,-422.0108141,0.5075255554,-1.112822082
40,0.16,production,-505.0617452,83.05013911,-422.011606,0.5174463496,-1.17258082
41,0.164,production,-506.4972658,84.48492975,-422.0123361,0.5263858552,-1.227569111
42,0.168,production,-507.7569033,85.74381884,-422.0130844,0.5342294009,-1.276832719
43,0.172,production,-508.8238504,86.80994061,-422.0139098,0.5408719041,-1.319542771
44,0.176,production,-509.6820612,87.66723929,-422.0148219,0.5462133289,-1.354978701
45,0.18,production,-510.3163494,88.30063508,-422.0157143,0.5501597201,-1.382511315
46,0.184,production,-510.7139936,88.69761317,-422.0163805,0.5526331039,-1.401672164
47,0.188,production,-510.8679108,88.85140595,-422.0165048,0.5535913143,-1.412249263
48,0.192,production,-510.7811612,88.76541847,-422.0157427,0.5530555668,-1.414436825
49,0.196,production,-510.4718061,88.45800563,-422.0138004,0.551140222,-1.408897776
50,0.2,production,-509.9767607,87.96620724,-422.0105535,0.5480760576,-1.396890839
51,0.204,production,-509.3530168,87.34688775,-422.0061291,0.5442173691,-1.380314604
52,0.208,production,-508.6749861,86.67402222,-422.0009639,0.5400250606,-1.361570263
53,0.212,production,-508.0273132,86.03155181,-421.9957614,0.5360221296,-1.343344056
54,0.216,production,-507.4937401,85.50235291,-421.9913872,0.5327249402,-1.32826338
55,0.22,production,-507.1437711,85.15509013,-421.988681,0.5305613092,-1.318520982
56,0.224,production,-507.0199453,85.03171608,-421.9882292,0.5297926235,-1.315484109
57,0.228,production,-507.1291746,85.13903959,-421.990135,0.5304613059,-1.31945061
58,0.232,production,-507.441358,85.44742804,-421.99393,0.5323827292,-1.329570501
59,0.236,production,-507.8964092,85.89769028,-421.9987189,0.5351881014,-1.344083774
60,0.24,production,-508.4176528,86.41415998,-422.0034928,0.5384059812,-1.360713561
61,0.244,production,-508.9270893,86.91963562,-422.0074537,0.5415553621,-1.377108163
62,0.248,production,-509.3577852,87.3475857,-422.0101994,0.5442217178,-1.391198158
63,0.252,production,-509.6607118,87.64901587,-422.011696,0.5460997873,-1.401420422
64,0.256,production,-509.8061145,87.79397152,-422.012143,0.5470029378,-1.406771145
65,0.26,production,-509.7813141,87.76952089,-422.0117932,0.5468505974,-1.406764809
66,0.264,production,-509.5874357,87.57660973,-422.010826,0.5456486588,-1.401352137
67,0.268,production,-509.2368547,87.22755161,-422.0093031,0.5434738418,-1.390824493
68,0.272,production,-508.7520533,86.74483039,-422.0072229,0.5404662329,-1.375805499
