# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 3 --density 0.80 --temperature 1.0 --cutoff 2.5 --skin 0.4 --dt 0.008 --equilibrate 0 --production 125 --thermostat none --seed 12345 --truncation linear-force-shift --thermo-out /Users/vishnu/molecular/results/exp02_thermo_dt0.008.csv
# git_sha: f5f126c
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# truncation: linear-force-shift
# pressure_includes_tail_correction: no
# potential_energy_includes_tail_correction: no
step,time,phase,potential_energy,kinetic_energy,total_energy,temperature,pressure
0,0,start,-574.6360249,152.6408823,-421.9951426,0.9510335345,-4.907078898
1,0.008,production,-574.2651359,152.2657447,-421.9993913,0.9486962285,-4.880676153
2,0.016,production,-573.102545,151.0903699,-422.0121751,0.9413730212,-4.800206792
3,0.024,production,-570.9982442,148.9644158,-422.0338284,0.9281272014,-4.661984092
4,0.032,production,-567.7024581,145.6385354,-422.0639226,0.9074052051,-4.460202362
5,0.04,production,-562.8791201,140.7792804,-422.0998397,0.8771294728,-4.187508848
6,0.048,production,-556.1549693,134.020819,-422.1341503,0.8350206792,-3.836662146
7,0.056,production,-547.2389611,125.0871475,-422.1518135,0.7793591748,-3.404679848
8,0.064,production,-536.1442429,114.0127593,-422.1314836,0.7103598709,-2.899299329
9,0.072,production,-523.4785616,101.4203695,-422.0581921,0.6319026138,-2.34722087
10,0.08,production,-510.6059136,88.65795599,-421.9479576,0.5523860186,-1.797718446
11,0.088,production,-499.3584576,77.50521136,-421.8532462,0.4828985132,-1.313005948
12,0.096,production,-491.2698858,69.44901104,-421.8208748,0.4327041186,-0.9448715832
13,0.104,production,-486.9107284,65.0617112,-421.8490173,0.4053689171,-0.7144605687
14,0.112,production,-485.8899801,63.98613904,-421.903841,0.3986675329,-0.6118991213
15,0.12,production,-487.3304766,65.37300054,-421.9574761,0.4073084146,-0.6100768545
16,0.128,production,-490.3055349,68.30677529,-421.9987596,0.425587385,-0.678020957
17,0.136,production,-494.0466527,72.02021284,-422.0264399,0.4487240675,-0.7880264689
18,0.144,production,-497.9906738,75.94719262,-422.0434812,0.4731912313,-0.9178268137
19,0.152,production,-501.7509778,79.69709663,-422.0538812,0.4965551192,-1.050580289
20,0.16,production,-505.0651157,83.00431994,-422.0607957,0.5171608719,-1.173609603
21,0.168,production,-507.7490292,85.68225474,-422.0667744,0.533845824,-1.277508866
22,0.176,production,-509.6599133,87.58603283,-422.0738805,0.5457073697,-1.355147865
23,0.184,production,-510.6724631,88.59218318,-422.08028,0.5519762192,-1.401131672
24,0.192,production,-510.7130776,88.63548373,-422.0775938,0.5522460046,-1.412922826
25,0.2,production,-509.8780421,87.82187087,-422.0561712,0.5471767655,-1.394226223
26,0.208,production,-508.5534712,86.53654233,-422.0169288,0.5391684881,-1.357964734
27,0.216,production,-507.3730288,85.39465198,-421.9783768,0.5320539064,-1.324482091
28,0.224,production,-506.9294485,84.96267099,-421.9667776,0.5293624361,-1.312575773
29,0.232,production,-507.3954938,85.40425237,-421.9912414,0.5321137219,-1.328165291
30,0.24,production,-508.4036309,86.37349022,-422.0301406,0.538152587,-1.360524398
31,0.248,production,-509.3479149,87.29163161,-422.0562833,0.5438730942,-1.391347279
32,0.256,production,-509.7784553,87.71529775,-422.0631576,0.5465127586,-1.406480591
33,0.264,production,-509.5328253,87.47542242,-422.0574028,0.5450182082,-1.400242015
34,0.272,production,-508.6706198,86.62795665,-422.0426632,0.5397380477,-1.373801882
35,0.28,production,-507.4165432,85.39656684,-422.0199763,0.532065837,-1.333488506
36,0.288,production,-506.1167476,84.11710153,-421.9996461,0.5240940905,-1.289299034
37,0.296,production,-505.070821,83.07166399,-421.999157,0.517580461,-1.249908726
38,0.304,production,-504.2929775,82.27375916,-422.0192183,0.5126090913,-1.215768209
39,0.312,production,-503.5054844,81.46480673,-422.0406777,0.5075688893,-1.179014799
40,0.32,production,-502.3996509,80.3506274,-422.0490236,0.500626962,-1.130983652
41,0.328,production,-500.8564934,78.81449726,-422.0419962,0.4910560577,-1.068624231
42,0.336,production,-498.9985211,76.9764027,-422.0221184,0.4796037551,-0.9961176264
43,0.344,production,-497.1468378,75.14932005,-421.9975177,0.4682200626,-0.9236107521
44,0.352,production,-495.6836456,73.69943682,-421.9842088,0.4591865223,-0.8629434507
45,0.36,production,-494.8180906,72.82528667,-421.9928039,0.4537401039,-0.8209552792
46,0.368,production,-494.4396211,72.424147,-422.0154741,0.4512407913,-0.7951256927
47,0.376,production,-494.2250427,72.19033884,-422.0347039,0.4497840426,-0.7767008556
48,0.384,production,-493.8886273,71.85017813,-422.0384491,0.4476646612,-0.7579186886
49,0.392,production,-493.3643223,71.33888275,-422.0254395,0.4444790202,-0.7373592423
50,0.4,production,-492.8305631,70.82730319,-422.00326,0.4412916086,-0.7207050942
51,0.408,production,-492.5987117,70.61474443,-421.9839673,0.439967255,-0.7173234755
52,0.416,production,-492.9340832,70.95654161,-421.9775416,0.4420968325,-0.7348971066
53,0.424,production,-493.9088378,71.92325086,-421.985587,0.448119943,-0.7750224585
54,0.432,production,-495.3759486,73.37481387,-422.0011347,0.4571639494,-0.8322607562
55,0.44,production,-497.0659053,75.05018361,-422.0157217,0.4676023901,-0.8972179067
56,0.448,production,-498.7102982,76.68444554,-422.0258526,0.4777847074,-0.960327768
57,0.456,production,-500.1022798,78.06988816,-422.0323917,0.4864167486,-1.013891384
58,0.464,production,-501.0970936,79.06117717,-422.0359164,0.4925930042,-1.052347891
59,0.472,production,-501.6114252,79.57645471,-422.0349705,0.4958034561,-1.072660873
60,0.48,production,-501.6456686,79.61737042,-422.0282982,0.4960583827,-1.074820325
61,0.488,production,-501.3012072,79.28396174,-422.0172454,0.4939810701,-1.062347942
62,0.496,production,-500.7590993,78.75291015,-422.0061891,0.4906723374,-1.041686748
63,0.504,production,-500.2164137,78.21686286,-421.9995508,0.4873324789,-1.019978089
64,0.512,production,-499.8223824,77.82525999,-421.9971224,0.4848925856,-1.003165732
