# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 6 --density 0.8177 --temperature 0.7880 --cutoff 2.5 --skin 0.3 --dt 0.005 --equilibrate 5000 --production 20000 --thermostat none --seed 3001 --rdf-out /Users/vishnu/molecular/results/exp03_rdf_rahman.csv
# git_sha: f76287d
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# frames: 20000
r,g
0.01247697592,0
0.03743092776,0
0.0623848796,0
0.08733883145,0
0.1122927833,0
0.1372467351,0
0.162200687,0
0.1871546388,0
0.2121085907,0
0.2370625425,0
0.2620164943,0
0.2869704462,0
0.311924398,0
0.3368783499,0
0.3618323017,0
0.3867862535,0
0.4117402054,0
0.4366941572,0
0.4616481091,0
0.4866020609,0
0.5115560128,0
0.5365099646,0
0.5614639164,0
0.5864178683,0
0.6113718201,0
0.636325772,0
0.6612797238,0
0.6862336756,0
0.7111876275,0
0.7361415793,0
0.7610955312,0
0.786049483,0
0.8110034348,0
0.8359573867,0
0.8609113385,0
0.8858652904,9.317383898e-05
0.9108192422,0.004493984309
0.9357731941,0.0564713475
0.9607271459,0.2974702093
0.9856810977,0.8539495478
1.01063505,1.613872128
1.035589001,2.305573071
1.060542953,2.724244493
1.085496905,2.841458337
1.110450857,2.734958971
1.135404809,2.500876167
1.160358761,2.224514826
1.185312712,1.953626323
1.210266664,1.702600175
1.235220616,1.490390176
1.260174568,1.30809919
1.28512852,1.157072798
1.310082472,1.03202604
1.335036424,0.9315602226
1.359990375,0.8527410305
1.384944327,0.7888504195
1.409898279,0.7362617958
1.434852231,0.6940378066
1.459806183,0.6627982911
1.484760135,0.6383228013
1.509714086,0.6255165497
1.534668038,0.6165209353
1.55962199,0.6145266332
1.584575942,0.6171162379
1.609529894,0.6276009539
1.634483846,0.6433881225
1.659437797,0.6659838546
1.684391749,0.6943453732
1.709345701,0.7299973568
1.734299653,0.7694056253
1.759253605,0.8128928478
1.784207557,0.8582744198
1.809161509,0.9070351811
1.83411546,0.9582674839
1.859069412,1.00634473
1.884023364,1.052480646
1.908977316,1.092855016
1.933931268,1.132028453
1.95888522,1.165579722
1.983839171,1.199029311
2.008793123,1.222139597
2.033747075,1.239463501
2.058701027,1.25310048
2.083654979,1.258484355
2.108608931,1.253465614
2.133562882,1.237058169
2.158516834,1.215648398
2.183470786,1.186345922
2.208424738,1.152819976
2.23337869,1.116947729
2.258332642,1.080977128
2.283286593,1.04478982
2.308240545,1.010505603
2.333194497,0.9759255149
2.358148449,0.948425817
2.383102401,0.9231286805
2.408056353,0.8990855739
2.433010305,0.8805933395
2.457964256,0.8683967252
2.482918208,0.8593330394
2.50787216,0.8533995365
2.532826112,0.8529068674
2.557780064,0.8558258076
2.582734016,0.8616867769
2.607687967,0.8721421553
2.632641919,0.8844505451
2.657595871,0.8996910909
2.682549823,0.9166718323
2.707503775,0.9353939524
2.732457727,0.9557333569
2.757411678,0.9761801044
2.78236563,0.9948336019
2.807319582,1.01471878
2.832273534,1.030588691
2.857227486,1.046707463
2.882181438,1.059249469
2.90713539,1.07001088
2.932089341,1.07927829
2.957043293,1.085159544
2.981997245,1.08706443
3.006951197,1.086877833
3.031905149,1.085251055
3.056859101,1.08138706
3.081813052,1.07475186
3.106767004,1.068184541
3.131720956,1.058486676
3.156674908,1.047675816
3.18162886,1.036030218
3.206582812,1.026020256
3.231536763,1.016284897
3.256490715,1.004074274
3.281444667,0.9933181052
3.306398619,0.9820826772
3.331352571,0.9747146751
3.356306523,0.9657971119
3.381260475,0.9589302839
3.406214426,0.9534537246
3.431168378,0.9491402016
3.45612233,0.9459646547
3.481076282,0.9459492336
3.506030234,0.9452102664
3.530984186,0.9480750612
3.555938137,0.9515398629
3.580892089,0.9564497172
3.605846041,0.961818624
3.630799993,0.9676114665
3.655753945,0.9749911051
3.680707897,0.9834797366
3.705661848,0.9898024913
3.7306158,0.9976429206
3.755569752,1.005254955
3.780523704,1.0121057
3.805477656,1.018113394
3.830431608,1.02403745
3.85538556,1.028084161
3.880339511,1.03085484
3.905293463,1.032616096
3.930247415,1.034629296
3.955201367,1.035281189
3.980155319,1.034385143
4.005109271,1.031988898
4.030063222,1.029667661
4.055017174,1.026409353
4.079971126,1.022961959
4.104925078,1.018310653
4.12987903,1.014610451
4.154832982,1.008737051
4.179786933,1.004242265
4.204740885,1.000341316
4.229694837,0.9955636896
4.254648789,0.9920187849
4.279602741,0.9885247026
4.304556693,0.9856935227
4.329510645,0.9828672876
4.354464596,0.9813720272
4.379418548,0.9804113375
4.4043725,0.9791526054
4.429326452,0.9780945752
4.454280404,0.9788400208
4.479234356,0.9798598916
4.504188307,0.9812396005
4.529142259,0.9835403144
4.554096211,0.9848728603
4.579050163,0.9871065787
4.604004115,0.9903580677
4.628958067,0.9928730196
4.653912018,0.9960663513
4.67886597,0.9992935674
4.703819922,1.002525594
4.728773874,1.004322334
4.753727826,1.007451308
4.778681778,1.009483749
4.803635729,1.011479766
4.828589681,1.012875685
4.853543633,1.01381589
4.878497585,1.014339241
4.903451537,1.014695938
4.928405489,1.01380565
4.953359441,1.013061416
4.978313392,1.011586121
