# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 6 --density 0.8442 --temperature 0.7280 --cutoff 2.5 --skin 0.3 --dt 0.005 --equilibrate 5000 --production 20000 --thermostat none --seed 3002 --rdf-out /Users/vishnu/molecular/results/exp03_rdf_verlet.csv
# git_sha: f76287d
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# frames: 20000
r,g
0.01234503201,0
0.03703509602,0
0.06172516003,0
0.08641522405,0
0.1111052881,0
0.1357953521,0
0.1604854161,0
0.1851754801,0
0.2098655441,0
0.2345556081,0
0.2592456721,0
0.2839357362,0
0.3086258002,0
0.3333158642,0
0.3580059282,0
0.3826959922,0
0.4073860562,0
0.4320761202,0
0.4567661842,0
0.4814562483,0
0.5061463123,0
0.5308363763,0
0.5555264403,0
0.5802165043,0
0.6049065683,0
0.6295966323,0
0.6542866964,0
0.6789767604,0
0.7036668244,0
0.7283568884,0
0.7530469524,0
0.7777370164,0
0.8024270804,0
0.8271171444,0
0.8518072085,0
0.8764972725,8.052060159e-06
0.9011873365,0.0006088097387
0.9258774005,0.01578270044
0.9505674645,0.1335258882
0.9752575285,0.5325161717
0.9999475925,1.258094302
1.024637657,2.080331848
1.049327721,2.700806309
1.074017785,2.97966752
1.098707849,2.959081073
1.123397913,2.743569721
1.148087977,2.443514991
1.172778041,2.132835675
1.197468105,1.839432161
1.222158169,1.586246721
1.246848233,1.377218134
1.271538297,1.199147283
1.296228361,1.056544753
1.320918425,0.9411542293
1.345608489,0.8481848227
1.370298553,0.7739600423
1.394988617,0.7150463671
1.419678681,0.6685161975
1.444368745,0.6325995724
1.469058809,0.6079647751
1.493748873,0.5904180664
1.518438937,0.5805673619
1.543129001,0.5762839987
1.567819065,0.5796328338
1.592509129,0.5883750014
1.617199193,0.6056861203
1.641889257,0.6277192262
1.666579321,0.6567606345
1.691269385,0.6911583197
1.715959449,0.7333719637
1.740649513,0.7794291048
1.765339577,0.8329629412
1.790029641,0.8889222626
1.814719705,0.9454394799
1.839409769,1.001690253
1.864099833,1.053927264
1.888789897,1.100372525
1.913479961,1.141319544
1.938170025,1.1765591
1.962860089,1.207978778
1.987550153,1.232701006
2.012240217,1.253839291
2.036930281,1.269010573
2.061620345,1.279137376
2.086310409,1.278519711
2.111000473,1.271079137
2.135690537,1.252323977
2.160380601,1.225260738
2.185070665,1.192606558
2.209760729,1.154560861
2.234450793,1.112748642
2.259140857,1.069887302
2.283830921,1.027175349
2.308520985,0.9872615905
2.333211049,0.952464766
2.357901113,0.9214695514
2.382591177,0.8926940865
2.407281241,0.8698808455
2.431971305,0.8525476991
2.456661369,0.8392743144
2.481351433,0.8304610185
2.506041497,0.8264307813
2.530731561,0.826411398
2.555421625,0.8335194912
2.580111689,0.8431716523
2.604801753,0.8563540288
2.629491817,0.8735859917
2.654181881,0.8931984964
2.678871945,0.9158427742
2.703562009,0.9397302801
2.728252073,0.9630527658
2.752942137,0.9863561137
2.777632201,1.009011382
2.802322266,1.031569967
2.82701233,1.050591898
2.851702394,1.068140349
2.876392458,1.082269666
2.901082522,1.09291779
2.925772586,1.10043694
2.95046265,1.103720784
2.975152714,1.105120455
2.999842778,1.103698226
3.024532842,1.098865843
3.049222906,1.091594382
3.07391297,1.082578748
3.098603034,1.072457317
3.123293098,1.061205804
3.147983162,1.048877974
3.172673226,1.037387893
3.19736329,1.024549067
3.222053354,1.010527214
3.246743418,0.9986489011
3.271433482,0.9861941174
3.296123546,0.9751904609
3.32081361,0.9640277871
3.345503674,0.9544998095
3.370193738,0.9463674694
3.394883802,0.9402660768
3.419573866,0.9356796802
3.44426393,0.9332646599
3.468953994,0.9321234441
3.493644058,0.9326132282
3.518334122,0.9353391642
3.543024186,0.9408147381
3.56771425,0.9469617614
3.592404314,0.9552606723
3.617094378,0.963471405
3.641784442,0.9725240843
3.666474506,0.9811628373
3.69116457,0.9919420659
3.715854634,1.002255096
3.740544698,1.011603138
3.765234762,1.019770464
3.789924826,1.027211304
3.81461489,1.033785375
3.839304954,1.038606932
3.863995018,1.041659475
3.888685082,1.043980512
3.913375146,1.045347447
3.93806521,1.045042919
3.962755274,1.043617763
3.987445338,1.040852254
4.012135402,1.03621824
4.036825466,1.03222854
4.06151553,1.026958363
4.086205594,1.019818441
4.110895658,1.015184437
4.135585722,1.009594603
4.160275786,1.004211775
4.18496585,0.9982795126
4.209655914,0.9925061451
4.234345978,0.9876284993
4.259036042,0.9830119995
4.283726106,0.9798111439
4.30841617,0.9769478494
4.333106234,0.9743913686
4.357796298,0.9728874834
4.382486362,0.9721444613
4.407176426,0.9723809194
4.43186649,0.9722719329
4.456556554,0.9733911171
4.481246618,0.9755082809
4.505936682,0.9773573356
4.530626746,0.9809376925
4.55531681,0.9844159009
4.580006874,0.9875586115
4.604696938,0.9916474817
4.629387002,0.9958757121
4.654077067,1.000208669
4.678767131,1.004186201
4.703457195,1.007784201
4.728147259,1.011606553
4.752837323,1.014156521
4.777527387,1.015772264
4.802217451,1.0175244
4.826907515,1.018967642
4.851597579,1.019401779
4.876287643,1.019852522
4.900977707,1.018875691
4.925667771,1.01773463
