# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 6 --density 0.8177 --temperature 0.7880 --cutoff 2.5 --skin 0.3 --dt 0.005 --equilibrate 5000 --production 2000 --thermostat none --seed 4001 --msd-out /Users/vishnu/molecular/results/exp04_msd_rahman_seed4001.csv
# git_sha: f76287d
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# D_msd (Einstein, fit lags [250,751)): 0.04546346168
# D_vacf (Green-Kubo): 0.04671225285
lag,time,msd,vacf
0,0,0,1
1,0.005,5.9357842e-05,0.9967282875
2,0.01,0.0002370426123,0.9869691522
3,0.015,0.0005318939886,0.9709284864
4,0.02,0.000942003981,0.9489371062
5,0.025,0.001464756569,0.9214340581
6,0.03,0.002096880201,0.8889460287
7,0.035,0.002834510685,0.8520648819
8,0.04,0.003673261779,0.811425158
9,0.045,0.004608300852,0.7676829664
10,0.05,0.005634427094,0.721497218
11,0.055,0.006746150072,0.6735137019
12,0.06,0.007937766719,0.6243521561
13,0.065,0.009203435218,0.5745962253
14,0.07,0.01053724451,0.5247860546
15,0.075,0.01193327844,0.4754132015
16,0.08,0.01338567392,0.4269175421
17,0.085,0.01488867277,0.3796858695
18,0.09,0.01643666713,0.3340518834
19,0.095,0.01802423883,0.2902972763
20,0.1,0.01964619269,0.2486536523
21,0.105,0.02129758394,0.2093050497
22,0.11,0.02297374013,0.1723908938
23,0.115,0.02467027768,0.1380092512
24,0.12,0.02638311354,0.106220271
25,0.125,0.02810847236,0.07704972233
26,0.13,0.02984288952,0.05049255608
27,0.135,0.03158321059,0.02651643011
28,0.14,0.03332658745,0.005065151055
29,0.145,0.03507047153,-0.01393800045
30,0.15,0.03681260475,-0.03058709097
31,0.155,0.03855100827,-0.04499052492
32,0.16,0.04028396972,-0.0572682239
33,0.165,0.04201002904,-0.06754901082
34,0.17,0.04372796327,-0.07596820373
35,0.175,0.04543677051,-0.08266542338
36,0.18,0.0471356535,-0.08778260909
37,0.185,0.04882400278,-0.09146223474
38,0.19,0.05050137985,-0.09384571699
39,0.195,0.05216750043,-0.09507200496
40,0.2,0.05382221788,-0.09527635028
41,0.205,0.05546550715,-0.09458925218
42,0.21,0.05709744923,-0.09313556923
43,0.215,0.05871821618,-0.09103378449
44,0.22,0.060328057,-0.08839540969
45,0.225,0.06192728436,-0.08532452077
46,0.23,0.06351626223,-0.0819174154
47,0.235,0.06509539473,-0.07826238737
48,0.24,0.06666511597,-0.07443961492
49,0.245,0.06822588115,-0.0705211533
50,0.25,0.06977815857,-0.06657101948
51,0.255,0.07132242273,-0.06264536292
52,0.26,0.07285914801,-0.05879270808
53,0.265,0.07438880306,-0.05505425967
54,0.27,0.07591184549,-0.05146426533
55,0.275,0.07742871708,-0.04805042548
56,0.28,0.07893983965,-0.0448343447
57,0.285,0.08044561155,-0.04183201005
58,0.29,0.08194640511,-0.03905428871
59,0.295,0.08344256485,-0.03650743089
60,0.3,0.08493440641,-0.03419356495
61,0.305,0.08642221614,-0.03211117805
62,0.31,0.08790625124,-0.03025557538
63,0.315,0.08938674023,-0.02861931138
64,0.32,0.0908638838,-0.02719260114
65,0.325,0.09233785587,-0.02596372272
66,0.33,0.0938088051,-0.02491941269
67,0.335,0.09527685671,-0.02404525156
68,0.34,0.09674211458,-0.02332602239
69,0.345,0.09820466362,-0.02274603572
70,0.35,0.09966457211,-0.02228941184
71,0.355,0.101121894,-0.02194031436
72,0.36,0.1025766712,-0.02168314124
73,0.365,0.1040289352,-0.02150267898
74,0.37,0.1054787094,-0.02138422346
75,0.375,0.1069260103,-0.02131367718
76,0.38,0.108370849,-0.02127763643
77,0.385,0.1098132322,-0.02126347114
78,0.39,0.1112531638,-0.02125939745
79,0.395,0.1126906454,-0.02125454746
80,0.4,0.1141256781,-0.02123903471
81,0.405,0.115558263,-0.02120401465
82,0.41,0.1169884022,-0.02114173815
83,0.415,0.1184160993,-0.02104559657
84,0.42,0.1198413599,-0.0209101623
85,0.425,0.1212641923,-0.02073121618
86,0.43,0.1226846078,-0.02050575601
87,0.435,0.1241026219,-0.02023198669
88,0.44,0.1255182549,-0.01990928798
89,0.445,0.1269315323,-0.01953816519
90,0.45,0.1283424858,-0.01912018134
91,0.455,0.1297511528,-0.01865787243
92,0.46,0.1311575765,-0.01815464985
93,0.465,0.1325618054,-0.01761468605
94,0.47,0.1339638928,-0.0170427822
95,0.475,0.1353638962,-0.01644422196
96,0.48,0.1367618765,-0.01582461553
97,0.485,0.1381578974,-0.01518973874
98,0.49,0.1395520247,-0.01454537864
99,0.495,0.1409443253,-0.01389718846
100,0.5,0.1423348666,-0.01325056288
101,0.505,0.143723716,-0.0126105462
102,0.51,0.1451109402,-0.01198177748
103,0.515,0.1464966052,-0.01136847228
104,0.52,0.1478807757,-0.01077442902
105,0.525,0.1492635155,-0.01020305193
106,0.53,0.1506448871,-0.009657383308
107,0.535,0.1520249516,-0.009140135408
108,0.54,0.1534037682,-0.008653716785
109,0.545,0.1547813947,-0.00820024618
110,0.55,0.1561578865,-0.007781550149
111,0.555,0.1575332971,-0.007399150978
112,0.56,0.1589076768,-0.00705424891
113,0.565,0.1602810731,-0.00674769873
114,0.57,0.1616535292,-0.006479985428
115,0.575,0.1630250837,-0.006251199475
116,0.58,0.1643957697,-0.006061009849
117,0.585,0.1657656138,-0.005908644457
118,0.59,0.1671346364,-0.005792885456
119,0.595,0.1685028507,-0.005712083019
120,0.6,0.1698702636,-0.00566419152
121,0.605,0.1712368758,-0.005646822466
122,0.61,0.1726026835,-0.005657305191
123,0.615,0.1739676789,-0.005692748031
124,0.62,0.1753318513,-0.005750097659
125,0.625,0.1766951879,-0.005826191459
126,0.63,0.1780576746,-0.005917800653
127,0.635,0.1794192959,-0.006021667623
128,0.64,0.1807800357,-0.006134537298
129,0.645,0.1821398766,-0.006253184409
130,0.65,0.1834988005,-0.006374439865
131,0.655,0.1848567886,-0.00649521747
132,0.66,0.1862138215,-0.006612542555
133,0.665,0.18756988,-0.006723582899
134,0.67,0.1889249457,-0.006825680791
135,0.675,0.1902790017,-0.006916385435
136,0.68,0.1916320337,-0.006993482034
137,0.685,0.1929840299,-0.007055013121
138,0.69,0.1943349822,-0.007099291358
139,0.695,0.1956848862,-0.007124904842
140,0.7,0.1970337413,-0.007130712773
141,0.705,0.1983815511,-0.007115833013
142,0.71,0.1997283237,-0.007079624767
143,0.715,0.2010740712,-0.007021666891
144,0.72,0.2024188104,-0.0069417334
145,0.725,0.2037625621,-0.006839769583
146,0.73,0.205105351,-0.006715875059
147,0.735,0.2064472056,-0.006570293802
148,0.74,0.2077881575,-0.006403409044
149,0.745,0.2091282413,-0.006215744771
150,0.75,0.2104674941,-0.006007970136
151,0.755,0.2118059558,-0.005780911926
152,0.76,0.2131436681,-0.005535579631
153,0.765,0.2144806753,-0.005273197764
154,0.77,0.2158170235,-0.004995241122
155,0.775,0.2171527606,-0.004703465429
156,0.78,0.218487936,-0.004399926152
157,0.785,0.2198225996,-0.004086982408
158,0.79,0.2211568015,-0.003767281054
159,0.795,0.2224905911,-0.003443716831
160,0.8,0.223824016,-0.003119371698
161,0.805,0.2251571218,-0.00279743599
162,0.81,0.2264899521,-0.002481118643
163,0.815,0.2278225481,-0.002173556474
164,0.82,0.2291549494,-0.001877730842
165,0.825,0.2304871946,-0.001596390076
166,0.83,0.2318193206,-0.001331977027
167,0.835,0.2331513636,-0.001086574626
168,0.84,0.2344833577,-0.0008618716997
169,0.845,0.2358153348,-0.0006591549679
170,0.85,0.2371473239,-0.0004793263041
171,0.855,0.2384793506,-0.0003229337784
172,0.86,0.2398114366,-0.000190212075
173,0.865,0.2411435999,-8.112089183e-05
174,0.87,0.2424758556,4.621854819e-06
175,0.875,0.2438082158,6.751033164e-05
176,0.88,0.2451406909,0.0001082231038
177,0.885,0.2464732897,0.0001275972017
178,0.89,0.2478060195,0.0001266062815
179,0.895,0.2491388863,0.0001063465756
180,0.9,0.2504718943,6.80324228e-05
181,0.905,0.2518050452,1.300087053e-05
182,0.91,0.2531383388,-5.728680508e-05
183,0.915,0.2544717717,-0.0001412495129
184,0.92,0.255805338,-0.0002371952408
185,0.925,0.2571390288,-0.000343338536
186,0.93,0.2584728325,-0.0004578223762
187,0.935,0.2598067348,-0.0005787407641
188,0.94,0.2611407195,-0.0007041581679
