# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 6 --density 0.8177 --temperature 0.7880 --cutoff 2.5 --skin 0.3 --dt 0.005 --equilibrate 5000 --production 2000 --thermostat none --seed 4003 --msd-out /Users/vishnu/molecular/results/exp04_msd_rahman_seed4003.csv
# git_sha: 97661a0
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# D_msd (Einstein, fit lags [250,751)): 0.04579885539
# D_vacf (Green-Kubo): 0.05073391564
lag,time,msd,vacf
0,0,0,1
1,0.005,5.914576035e-05,0.996744645
2,0.01,0.0002361947331,0.9870730029
3,0.015,0.0005299947546,0.9711875452
4,0.02,0.0009386555566,0.9494139507
5,0.025,0.001459587773,0.9221847132
6,0.03,0.002089554746,0.8900189212
7,0.035,0.002824734684,0.8535001887
8,0.04,0.003660790499,0.8132545187
9,0.045,0.004592944622,0.7699294932
10,0.05,0.00561605627,0.7241757177
11,0.055,0.006724698891,0.6766310176
12,0.06,0.007913235896,0.6279075595
13,0.065,0.009175893145,0.5785818208
14,0.07,0.01050682705,0.5291871892
15,0.075,0.0119001875,0.4802089054
16,0.08,0.01335017511,0.4320810173
17,0.085,0.01485109246,0.3851850115
18,0.09,0.01639738925,0.3398498144
19,0.095,0.01798370133,0.2963528779
20,0.1,0.01960488363,0.2549221037
21,0.105,0.0212560373,0.2157383929
22,0.11,0.02293253114,0.1789386474
23,0.115,0.02463001779,0.144619081
24,0.12,0.02634444484,0.1128387137
25,0.125,0.02807206151,0.08362294451
26,0.13,0.02980942111,0.05696712097
27,0.135,0.03155337991,0.0328400479
28,0.14,0.0333010929,0.01118738727
29,0.145,0.03505000696,-0.008065078949
30,0.15,0.03679785184,-0.02500834976
31,0.155,0.03854262925,-0.03974729577
32,0.16,0.04028260045,-0.05239794663
33,0.165,0.04201627267,-0.06308498319
34,0.17,0.04374238471,-0.07193943418
35,0.175,0.04545989195,-0.07909656656
36,0.18,0.04716795093,-0.08469396376
37,0.185,0.0488659038,-0.0888697921
38,0.19,0.05055326255,-0.09176125416
39,0.195,0.05222969317,-0.09350321758
40,0.2,0.05389499988,-0.09422700955
41,0.205,0.05554910951,-0.0940593665
42,0.21,0.0571920561,-0.0931215338
43,0.215,0.058823966,-0.09152851485
44,0.22,0.0604450435,-0.0893884635
45,0.225,0.06205555715,-0.08680221687
46,0.23,0.0636558271,-0.08386295919
47,0.235,0.06524621331,-0.08065600907
48,0.24,0.06682710489,-0.0772587214
49,0.245,0.06839891067,-0.07374049454
50,0.25,0.06996205082,-0.0701628769
51,0.255,0.07151694973,-0.0665797646
52,0.26,0.07306402998,-0.0630376807
53,0.265,0.07460370718,-0.05957612616
54,0.27,0.07613638582,-0.05622798631
55,0.275,0.07766245574,-0.05301998259
56,0.28,0.07918228932,-0.04997316186
57,0.285,0.08069623928,-0.04710340657
58,0.29,0.08220463704,-0.04442195358
59,0.295,0.08370779164,-0.04193590732
60,0.3,0.08520598915,-0.0396487282
61,0.305,0.08669949242,-0.03756068515
62,0.31,0.08818854126,-0.03566926741
63,0.315,0.0896733528,-0.03396955597
64,0.32,0.09115412205,-0.03245456213
65,0.325,0.09263102277,-0.03111554072
66,0.33,0.09410420838,-0.02994228593
67,0.335,0.09557381322,-0.0289234148
68,0.34,0.0970399538,-0.02804663774
69,0.345,0.09850273021,-0.02729901768
70,0.35,0.09996222755,-0.02666721964
71,0.355,0.1014185173,-0.02613774802
72,0.36,0.1028716587,-0.02569716983
73,0.365,0.1043217005,-0.02533231582
74,0.37,0.1057686823,-0.02503044936
75,0.375,0.1072126366,-0.02477939936
76,0.38,0.1086535904,-0.02456765531
77,0.385,0.1100915668,-0.0243844296
78,0.39,0.1115265867,-0.02421969647
79,0.395,0.1129586694,-0.02406421419
80,0.4,0.1143878335,-0.02390954195
81,0.405,0.1158140973,-0.02374805126
82,0.41,0.1172374797,-0.02357293122
83,0.415,0.1186580004,-0.0233781928
84,0.42,0.1200756808,-0.02315866747
85,0.425,0.1214905446,-0.02291000151
86,0.43,0.1229026182,-0.02262864594
87,0.435,0.1243119316,-0.02231183976
88,0.44,0.125718519,-0.02195758828
89,0.445,0.1271224193,-0.02156463673
90,0.45,0.1285236765,-0.02113243524
91,0.455,0.1299223403,-0.02066109629
92,0.46,0.1313184662,-0.0201513529
93,0.465,0.1327121148,-0.01960451995
94,0.47,0.1341033521,-0.0190224578
95,0.475,0.135492249,-0.01840753089
96,0.48,0.1368788806,-0.01776255052
97,0.485,0.1382633259,-0.01709070373
98,0.49,0.1396456673,-0.01639547706
99,0.495,0.1410259904,-0.01568058293
100,0.5,0.1424043834,-0.01494989595
101,0.505,0.1437809368,-0.01420739795
102,0.51,0.145155743,-0.01345712679
103,0.515,0.146528896,-0.01270312691
104,0.52,0.1479004909,-0.01194940076
105,0.525,0.149270624,-0.0111998618
106,0.53,0.1506393918,-0.01045828763
