# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 6 --density 0.8177 --temperature 0.7880 --cutoff 2.5 --skin 0.3 --dt 0.005 --equilibrate 5000 --production 2000 --thermostat none --seed 4006 --msd-out /Users/vishnu/molecular/results/exp04_msd_rahman_seed4006.csv
# git_sha: f5f126c
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# D_msd (Einstein, fit lags [250,751)): 0.04487100462
# D_vacf (Green-Kubo): 0.04889786768
lag,time,msd,vacf
0,0,0,1
1,0.005,5.726241548e-05,0.9968017009
2,0.01,0.0002286820261,0.9872775021
3,0.015,0.0005131645117,0.9716239201
4,0.02,0.0009089121027,0.9501568991
5,0.025,0.001413460298,0.9232961429
6,0.03,0.002023726422,0.8915457398
7,0.035,0.002736067769,0.855472967
8,0.04,0.003546346907,0.815686991
9,0.045,0.004450001721,0.7728188083
10,0.05,0.005442117879,0.7275033248
11,0.055,0.006517501662,0.6803640628
12,0.06,0.007670751382,0.6320006732
13,0.065,0.00889632594,0.5829791906
14,0.07,0.01018860948,0.5338248222
15,0.075,0.01154197134,0.4850169756
16,0.08,0.01295082083,0.4369861894
17,0.085,0.01440965643,0.390112647
18,0.09,0.01591310939,0.3447259872
19,0.095,0.01745598146,0.3011061509
20,0.1,0.01903327714,0.2594850398
21,0.105,0.02064023029,0.2200487994
22,0.11,0.02227232564,0.1829405681
23,0.115,0.0239253153,0.1482635554
24,0.12,0.02559523078,0.1160843283
25,0.125,0.02727839065,0.08643620037
26,0.13,0.02897140427,0.05932263445
27,0.135,0.030671172,0.03472059761
28,0.14,0.03237488217,0.01258381656
29,0.145,0.03408000541,-0.007154095383
30,0.15,0.03578428671,-0.02457666255
31,0.155,0.03748573573,-0.03978174325
32,0.16,0.03918261568,-0.05287891579
33,0.165,0.04087343097,-0.06398705684
34,0.17,0.04255691378,-0.07323210925
35,0.175,0.04423200972,-0.08074503274
36,0.18,0.04589786269,-0.08665992699
37,0.185,0.04755379925,-0.09111232362
38,0.19,0.04919931271,-0.09423764477
39,0.195,0.0508340473,-0.09616982575
40,0.2,0.05245778248,-0.09704009831
41,0.205,0.0540704177,-0.09697592938
