# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 6 --density 0.8442 --temperature 0.7280 --cutoff 2.5 --skin 0.3 --dt 0.005 --equilibrate 5000 --production 2000 --thermostat none --seed 4102 --msd-out /Users/vishnu/molecular/results/exp04_msd_verlet_seed4102.csv
# git_sha: 97661a0
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# D_msd (Einstein, fit lags [250,751)): 0.03559672225
# D_vacf (Green-Kubo): 0.0349688507
lag,time,msd,vacf
0,0,0,1
1,0.005,5.467872445e-05,0.9965779073
2,0.01,0.0002183397818,0.986372171
3,0.015,0.0004898639232,0.969593502
4,0.02,0.0008674105244,0.9465814406
5,0.025,0.001348455254,0.9177881664
6,0.03,0.001929840171,0.8837583289
7,0.035,0.002607833924,0.84510677
8,0.04,0.003378199549,0.802495897
9,0.045,0.004236267375,0.7566141255
10,0.05,0.005177010695,0.7081563811
11,0.055,0.006195122066,0.6578072265
12,0.06,0.007285088359,0.6062268403
13,0.065,0.00844126297,0.5540398357
14,0.07,0.009657933948,0.5018267666
15,0.075,0.01092938719,0.4501180752
16,0.08,0.01224996415,0.39939019
17,0.085,0.0136141138,0.3500634428
18,0.09,0.01501643861,0.3025014693
19,0.095,0.01645173448,0.2570118034
20,0.1,0.01791502461,0.2138474185
21,0.105,0.01940158738,0.1732090102
22,0.11,0.02090697844,0.1352478569
23,0.115,0.02242704748,0.100069114
24,0.12,0.02395794979,0.06773541068
25,0.125,0.02549615323,0.03827063967
26,0.13,0.0270384407,0.01166384577
27,0.135,0.02858190881,-0.01212686731
28,0.14,0.03012396297,-0.03317047855
29,0.145,0.03166230955,-0.05155929517
30,0.15,0.03319494562,-0.06740534631
31,0.155,0.03472014666,-0.08083695188
32,0.16,0.03623645252,-0.09199548597
33,0.165,0.03774265204,-0.1010323446
34,0.17,0.03923776646,-0.1081061259
35,0.175,0.04072103191,-0.1133800272
36,0.18,0.0421918814,-0.1170194669
37,0.185,0.04364992648,-0.1191899388
38,0.19,0.04509493903,-0.120055093
39,0.195,0.04652683327,-0.1197750403
40,0.2,0.04794564817,-0.1185048632
41,0.205,0.04935153043,-0.1163933246
42,0.21,0.05074471816,-0.1135817706
43,0.215,0.05212552527,-0.1102032174
44,0.22,0.05349432687,-0.1063816163
45,0.225,0.05485154551,-0.1022312941
46,0.23,0.05619763845,-0.09785656279
47,0.235,0.05753308614,-0.0933514895
48,0.24,0.05885838184,-0.08879982024
49,0.245,0.06017402255,-0.08427505184
50,0.25,0.06148050126,-0.07984063578
51,0.255,0.06277830024,-0.07555029425
52,0.26,0.06406788562,-0.07144843334
53,0.265,0.06534970283,-0.06757063462
54,0.27,0.06662417305,-0.06394420278
55,0.275,0.06789169045,-0.06058875923
