# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 6 --density 0.8442 --temperature 0.7280 --cutoff 2.5 --skin 0.3 --dt 0.005 --equilibrate 5000 --production 2000 --thermostat none --seed 4103 --msd-out /Users/vishnu/molecular/results/exp04_msd_verlet_seed4103.csv
# git_sha: f76287d
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# D_msd (Einstein, fit lags [250,751)): 0.03269015364
# D_vacf (Green-Kubo): 0.03404224234
lag,time,msd,vacf
0,0,0,1
1,0.005,5.498016047e-05,0.9965484176
2,0.01,0.0002195403957,0.9862483517
3,0.015,0.0004925451582,0.969313551
4,0.02,0.0008721265294,0.9460883669
5,0.025,0.001355722665,0.9170312584
6,0.03,0.001940128903,0.8826942703
7,0.035,0.002621559203,0.8437004013
8,0.04,0.003395715367,0.8007206392
9,0.045,0.004257861428,0.7544520874
10,0.05,0.00520290078,0.7055981841
11,0.055,0.006225453804,0.654851593
12,0.06,0.007319934127,0.6028800139
13,0.065,0.008480621955,0.5503149102
14,0.07,0.00970173332,0.4977429732
15,0.075,0.01097748439,0.445700057
16,0.08,0.01230215025,0.3946672587
17,0.085,0.01367011773,0.3450688108
18,0.09,0.0150759321,0.2972714736
19,0.095,0.01651433742,0.2515851498
20,0.1,0.01798031055,0.2082644797
21,0.105,0.01946908915,0.1675112013
22,0.11,0.0209761938,0.1294770947
23,0.115,0.02249744467,0.09426735237
24,0.12,0.02402897313,0.06194423618
25,0.125,0.02556722875,0.03253090232
26,0.13,0.02710898188,0.006015300986
27,0.135,0.02865132233,-0.01764592571
28,0.14,0.03019165443,-0.03852360279
29,0.145,0.03172768895,-0.05671228473
30,0.15,0.0332574323,-0.07232664987
31,0.155,0.03477917347,-0.08549804669
32,0.16,0.03629146927,-0.09637120816
33,0.165,0.03779312824,-0.1051011504
34,0.17,0.03928319365,-0.1118502691
35,0.175,0.04076092585,-0.1167856494
36,0.18,0.0422257842,-0.1200766033
37,0.185,0.04367740872,-0.1218924397
38,0.19,0.04511560157,-0.1224004773
39,0.195,0.04654030871,-0.121764298
40,0.2,0.04795160184,-0.1201422342
41,0.205,0.04934966081,-0.1176860755
42,0.21,0.05073475692,-0.1145399764
43,0.215,0.05210723686,-0.1108395486
44,0.22,0.05346750784,-0.1067111267
45,0.225,0.05481602368,-0.1022712023
46,0.23,0.05615327207,-0.09762602492
47,0.235,0.05747976297,-0.0928713687
48,0.24,0.05879601838,-0.08809245377
49,0.245,0.06010256314,-0.08336402008
50,0.25,0.0613999171,-0.07875054228
51,0.255,0.0626885884,-0.07430656074
52,0.26,0.06396906775,-0.0700771097
53,0.265,0.06524182379,-0.06609821884
54,0.27,0.06650729922,-0.06239746563
55,0.275,0.06776590766,-0.05899456693
56,0.28,0.06901803124,-0.05590199661
57,0.285,0.07026401891,-0.05312561463
58,0.29,0.07150418538,-0.05066529474
59,0.295,0.07273881078,-0.04851554264
60,0.3,0.0739681409,-0.0466660986
61,0.305,0.07519238812,-0.04510253133
62,0.31,0.07641173271,-0.04380682491
63,0.315,0.07762632473,-0.04275796393
64,0.32,0.07883628612,-0.04193252061
65,0.325,0.08004171326,-0.04130524518
66,0.33,0.0812426796,-0.04084965602
67,0.335,0.0824392385,-0.04053861347
68,0.34,0.08363142617,-0.04034487252
69,0.345,0.0848192647,-0.04024160383
70,0.35,0.08600276521,-0.04020287392
71,0.355,0.08718193095,-0.0402040785
72,0.36,0.08835676035,-0.04022232223
73,0.365,0.08952724991,-0.04023673734
74,0.37,0.09069339667,-0.04022873569
75,0.375,0.09185520038,-0.04018219049
76,0.38,0.09301266507,-0.04008354192
77,0.385,0.09416580029,-0.0399218352
78,0.39,0.09531462187,-0.0396886968
79,0.395,0.09645915255,-0.03937825848
80,0.4,0.09759942244,-0.03898704281
81,0.405,0.09873546944,-0.03851381144
82,0.41,0.09986733968,-0.03795937653
83,0.415,0.1009950877,-0.03732638007
84,0.42,0.1021187766,-0.03661904961
85,0.425,0.1032384778,-0.03584293776
86,0.43,0.1043542705,-0.03500465884
87,0.435,0.105466241,-0.03411163427
88,0.44,0.1065744818,-0.03317185233
89,0.445,0.1076790908,-0.03219364591
90,0.45,0.1087801703,-0.03118548851
91,0.455,0.1098778262,-0.03015580704
92,0.46,0.1109721669,-0.0291128091
93,0.465,0.1120633026,-0.02806432425
94,0.47,0.1131513445,-0.02701766627
95,0.475,0.1142364037,-0.02597952252
96,0.48,0.1153185905,-0.02495587492
97,0.485,0.1163980139,-0.02395195285
98,0.49,0.1174747807,-0.02297221345
99,0.495,0.1185489948,-0.02202033913
100,0.5,0.1196207566,-0.02109924748
101,0.505,0.1206901624,-0.02021111106
102,0.51,0.1217573042,-0.01935738594
103,0.515,0.1228222696,-0.01853885009
104,0.52,0.1238851418,-0.0177556487
105,0.525,0.1249460001,-0.01700734786
106,0.53,0.12600492,-0.01629299289
107,0.535,0.1270619735,-0.01561117381
108,0.54,0.1281172297,-0.01496010186
109,0.545,0.1291707546,-0.01433769765
110,0.55,0.1302226115,-0.01374169146
111,0.555,0.1312728614,-0.01316972855
112,0.56,0.1323215629,-0.01261947616
113,0.565,0.1333687724,-0.01208872807
114,0.57,0.1344145446,-0.01157549918
115,0.575,0.1354589321,-0.01107810803
116,0.58,0.1365019863,-0.01059523949
117,0.585,0.1375437564,-0.01012598742
118,0.59,0.1385842904,-0.009669875225
119,0.595,0.139623634,-0.009226851032
120,0.6,0.1406618313,-0.008797262943
121,0.605,0.1416989244,-0.008381813689
122,0.61,0.1427349531,-0.007981494298
123,0.615,0.1437699555,-0.007597501838
124,0.62,0.1448039674,-0.007231138794
125,0.625,0.1458370235,-0.006883703208
126,0.63,0.146869157,-0.006556381008
127,0.635,0.1479004003,-0.006250145083
128,0.64,0.1489307856,-0.005965669304
129,0.645,0.149960345,-0.00570325429
130,0.65,0.1509891107,-0.005462766365
131,0.655,0.1520171149,-0.005243594122
132,0.66,0.1530443891,-0.005044628462
133,0.665,0.1540709636,-0.004864272774
134,0.67,0.1550968666,-0.004700487564
135,0.675,0.1561221239,-0.004550866257
136,0.68,0.1571467583,-0.004412730859
137,0.685,0.1581707894,-0.004283242016
138,0.69,0.1591942341,-0.004159510318
139,0.695,0.1602171067,-0.00403869841
140,0.7,0.1612394193,-0.00391811033
141,0.705,0.1622611828,-0.003795259985
142,0.71,0.1632824078,-0.003667919555
143,0.715,0.1643031052,-0.003534155324
144,0.72,0.1653232869,-0.003392352576
145,0.725,0.1663429668,-0.003241232108
146,0.73,0.167362161,-0.003079864265
147,0.735,0.1683808879,-0.002907681863
148,0.74,0.1693991685,-0.002724490429
149,0.745,0.1704170259,-0.002530474484
150,0.75,0.1714344856,-0.002326198321
151,0.755,0.1724515748,-0.002112597684
152,0.76,0.173468322,-0.001890965633
153,0.765,0.174484757,-0.001662934975
154,0.77,0.1755009105,-0.001430457034
155,0.775,0.1765168139,-0.00119577371
156,0.78,0.1775324989,-0.000961377011
157,0.785,0.1785479973,-0.0007299613477
158,0.79,0.1795633408,-0.0005043707752
159,0.795,0.1805785598,-0.000287540074
160,0.8,0.181593683,-8.243141458e-05
161,0.805,0.1826087368,0.0001080325032
162,0.81,0.1836237452,0.0002810412394
163,0.815,0.184638729,0.0004339756741
164,0.82,0.1856537064,0.0005644876805
165,0.825,0.1866686922,0.0006705815158
166,0.83,0.1876836981,0.0007506910405
167,0.835,0.1886987324,0.0008037469543
168,0.84,0.1897137999,0.0008292294899
169,0.845,0.1907289018,0.000827200578
170,0.85,0.191744036,0.0007983118035
171,0.855,0.1927591968,0.0007437866794
172,0.86,0.1937743753,0.0006653830269
173,0.865,0.1947895594,0.0005653390137
174,0.87,0.1958047342,0.0004463088091
175,0.875,0.1968198825,0.0003112936989
176,0.88,0.1978349852,0.0001635718401
177,0.885,0.1988500218,6.625585958e-06
178,0.89,0.1998649717,-0.0001559374955
179,0.895,0.2008798146,-0.0003204675075
180,0.9,0.2018945317,-0.0004833513333
181,0.905,0.202909106,-0.0006410894634
182,0.91,0.2039235232,-0.0007903678101
183,0.915,0.2049377719,-0.0009281255946
184,0.92,0.2059518431,-0.001051617706
185,0.925,0.2069657311,-0.001158466946
186,0.93,0.2079794323,-0.001246706902
187,0.935,0.2089929453,-0.001314814931
188,0.94,0.2100062703,-0.001361737621
189,0.945,0.2110194089,-0.001386906135
190,0.95,0.2120323634,-0.001390249089
191,0.955,0.2130451371,-0.001372199874
192,0.96,0.2140577335,-0.00133368966
193,0.965,0.2150701567,-0.001276122831
194,0.97,0.2160824106,-0.001201328665
195,0.975,0.217094499,-0.001111493927
196,0.98,0.2181064255,-0.00100908682
197,0.985,0.2191181932,-0.0008967837914
198,0.99,0.2201298049,-0.0007774054442
199,0.995,0.2211412631,-0.0006538576209
200,1,0.2221525698,-0.0005290724383
201,1.005,0.223163727,-0.0004059433651
202,1.01,0.2241747361,-0.0002872603081
203,1.015,0.2251855982,-0.0001756589669
204,1.02,0.2261963141,-7.359313687e-05
205,1.025,0.2272068842,1.666915307e-05
206,1.03,0.2282173084,9.30429906e-05
207,1.035,0.2292275859,0.0001536290819
208,1.04,0.2302377152,0.0001967246419
209,1.045,0.2312476935,0.0002208490403
210,1.05,0.2322575169,0.0002247765908
211,1.055,0.2332671799,0.0002075762413
212,1.06,0.2342766756,0.0001686530267
213,1.065,0.235285995,0.0001077812173
214,1.07,0.2362951276,2.512553128e-05
215,1.075,0.2373040603,-7.875116322e-05
216,1.08,0.238312778,-0.0002028910255
217,1.085,0.2393212631,-0.000345953015
218,1.09,0.2403294956,-0.0005062301843
219,1.095,0.2413374529,-0.0006816804896
220,1.1,0.2423451099,-0.0008699716488
221,1.105,0.2433524392,-0.001068538473
222,1.11,0.2443594112,-0.001274651598
223,1.115,0.2453659945,-0.001485487362
224,1.12,0.2463721565,-0.001698192126
225,1.125,0.2473778644,-0.001909935686
226,1.13,0.2483830854,-0.002117955586
227,1.135,0.2493877883,-0.002319593369
228,1.14,0.2503919439,-0.002512321798
229,1.145,0.2513955263,-0.002693766158
230,1.15,0.2523985136,-0.002861722186
231,1.155,0.2534008889,-0.003014167018
232,1.16,0.2544026402,-0.003149266797
233,1.165,0.255403761,-0.003265382377
234,1.17,0.2564042495,-0.003361068677
235,1.175,0.2574041086,-0.003435071432
236,1.18,0.2584033451,-0.003486324952
237,1.185,0.2594019694,-0.003513953911
238,1.19,0.260399995,-0.003517283411
239,1.195,0.2613974378,-0.003495863037
240,1.2,0.2623943161,-0.003449500568
241,1.205,0.2633906498,-0.00337830571
242,1.21,0.26438646,-0.003282738755
243,1.215,0.2653817694,-0.003163657618
244,1.22,0.2663766016,-0.003022353904
245,1.225,0.2673709823,-0.0028605685
246,1.23,0.268364939,-0.002680486385
247,1.235,0.2693585015,-0.002484702695
248,1.24,0.2703517015,-0.002276160696
249,1.245,0.2713445723,-0.002058070589
250,1.25,0.2723371481,-0.001833815616
251,1.255,0.2733294629,-0.001606858566
252,1.26,0.2743215499,-0.001380657029
253,1.265,0.2753134409,-0.001158595585
254,1.27,0.2763051662,-0.000943933034
255,1.275,0.2772967544,-0.0007397569847
256,1.28,0.2782882323,-0.0005489480523
257,1.285,0.2792796255,-0.000374156956
258,1.29,0.280270958,-0.0002177927765
259,1.295,0.2812622524,-8.201848399e-05
260,1.3,0.2822535303,3.12468305e-05
261,1.305,0.2832448111,0.0001203236601
262,1.31,0.2842361123,0.0001837697196
263,1.315,0.2852274486,0.0002203801332
264,1.32,0.2862188316,0.0002291902209
265,1.325,0.2872102695,0.0002094781073
266,1.33,0.2882017665,0.0001607630054
267,1.335,0.2891933224,8.280329192e-05
268,1.34,0.2901849329,-2.440955889e-05
269,1.345,0.2911765888,-0.0001606631118
270,1.35,0.2921682767,-0.0003255376914
271,1.355,0.2931599789,-0.0005184209604
272,1.36,0.2941516738,-0.0007385197478
273,1.365,0.2951433362,-0.0009848645783
274,1.37,0.2961349376,-0.00125630383
275,1.375,0.2971264465,-0.001551485866
276,1.38,0.2981178287,-0.001868834945
277,1.385,0.2991090477,-0.002206528017
278,1.39,0.3001000648,-0.002562478959
279,1.395,0.3010908402,-0.002934336083
280,1.4,0.302081333,-0.003319495396
281,1.405,0.3030715013,-0.003715127151
282,1.41,0.3040613029,-0.004118212488
283,1.415,0.305050695,-0.004525588491
284,1.42,0.306039634,-0.004933993598
285,1.425,0.3070280756,-0.005340111833
286,1.43,0.3080159746,-0.005740619333
287,1.435,0.3090032847,-0.006132233541
288,1.44,0.3099899587,-0.006511762066
289,1.445,0.3109759494,-0.006876145132
290,1.45,0.3119612097,-0.007222488025
291,1.455,0.3129456935,-0.007548083076
292,1.46,0.3139293566,-0.00785042474
293,1.465,0.3149121575,-0.008127224312
294,1.47,0.3158940581,-0.008376424464
295,1.475,0.3168750245,-0.008596207304
296,1.48,0.3178550277,-0.008784992053
297,1.485,0.3188340439,-0.008941428578
298,1.49,0.3198120555,-0.009064389781
299,1.495,0.3207890511,-0.009152965738
300,1.5,0.3217650255,-0.009206465165
301,1.505,0.3227399802,-0.009224423846
302,1.51,0.3237139222,-0.009206620547
303,1.515,0.3246868637,-0.009153094793
304,1.52,0.3256588214,-0.009064163791
305,1.525,0.3266298159,-0.008940437391
306,1.53,0.3275998711,-0.008782827802
307,1.535,0.3285690144,-0.008592554339
308,1.54,0.329537276,-0.008371138746
309,1.545,0.3305046893,-0.008120385624
310,1.55,0.3314712903,-0.007842353011
311,1.555,0.3324371179,-0.007539315821
312,1.56,0.3334022134,-0.007213724134
313,1.565,0.3343666201,-0.006868161688
314,1.57,0.3353303834,-0.006505306256
315,1.575,0.33629355,-0.006127893466
316,1.58,0.337256168,-0.005738688359
317,1.585,0.338218287,-0.005340461837
318,1.59,0.339179957,-0.004935975766
319,1.595,0.340141229,-0.004527978439
320,1.6,0.3411021542,-0.004119199675
321,1.605,0.3420627835,-0.003712342939
322,1.61,0.3430231668,-0.003310070911
323,1.615,0.3439833534,-0.002914984094
324,1.62,0.3449433907,-0.002529593722
325,1.625,0.3459033249,-0.002156291706
326,1.63,0.3468632008,-0.001797324369
327,1.635,0.3478230613,-0.001454775823
328,1.64,0.3487829474,-0.001130560283
329,1.645,0.3497428978,-0.0008264198902
330,1.65,0.3507029485,-0.0005439244439
331,1.655,0.3516631326,-0.0002844653758
332,1.66,0.35262348,-4.924257782e-05
333,1.665,0.3535840175,0.0001607567931
334,1.67,0.3545447691,0.0003447801143
335,1.675,0.3555057557,0.0005023318593
336,1.68,0.3564669953,0.0006331985093
337,1.685,0.3574285034,0.0007374687051
338,1.69,0.3583902926,0.0008155477695
339,1.695,0.3593523726,0.0008681658068
340,1.7,0.3603147493,0.0008963759554
341,1.705,0.3612774244,0.0009015465214
342,1.71,0.3622403946,0.0008853508885
343,1.715,0.3632036509,0.0008497493229
344,1.72,0.3641671783,0.0007969627597
345,1.725,0.3651309562,0.0007294330002
346,1.73,0.3660949584,0.0006497727027
347,1.735,0.3670591544,0.0005607132913
348,1.74,0.368023511,0.0004650534946
349,1.745,0.3689879937,0.000365614619
350,1.75,0.3699525681,0.0002651952884
351,1.755,0.3709172013,0.000166523429
352,1.76,0.3718818629,7.220832579e-05
353,1.765,0.3728465256,-1.531004662e-05
354,1.77,0.3738111663,-9.381122976e-05
355,1.775,0.3747757655,-0.0001613385
356,1.78,0.3757403088,-0.0002162354166
357,1.785,0.3767047859,-0.0002571694528
358,1.79,0.3776691908,-0.0002831375992
359,1.795,0.3786335213,-0.0002934594823
360,1.8,0.3795977776,-0.0002877609928
361,1.805,0.3805619617,-0.0002659574008
362,1.81,0.3815260768,-0.0002282399171
363,1.815,0.3824901269,-0.0001750573372
364,1.82,0.3834541175,-0.0001070923125
365,1.825,0.3844180556,-2.523050732e-05
366,1.83,0.3853819502,6.947279257e-05
367,1.835,0.3863458123,0.0001758191576
368,1.84,0.3873096546,0.0002924837815
369,1.845,0.3882734905,0.0004180292731
370,1.85,0.389237334,0.0005509279051
371,1.855,0.3902011989,0.0006896006716
372,1.86,0.3911650985,0.0008324731456
373,1.865,0.392129045,0.000978038038
374,1.87,0.3930930499,0.001124912321
