# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 6 --density 0.8442 --temperature 0.7280 --cutoff 2.5 --skin 0.3 --dt 0.005 --equilibrate 5000 --production 2000 --thermostat none --seed 4105 --msd-out /Users/vishnu/molecular/results/exp04_msd_verlet_seed4105.csv
# git_sha: f5f126c
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# D_msd (Einstein, fit lags [250,751)): 0.02889857934
# D_vacf (Green-Kubo): 0.03123306092
lag,time,msd,vacf
0,0,0,1
1,0.005,5.297616428e-05,0.9966145357
2,0.01,0.0002115446243,0.9865352395
3,0.015,0.0004746339382,0.9699647555
4,0.02,0.0008404833023,0.947229878
5,0.025,0.001306677373,0.9187663655
6,0.03,0.001870192684,0.8850999953
7,0.035,0.00252745364,0.8468255856
8,0.04,0.003274395868,0.8045855965
9,0.045,0.004106534633,0.7590496098
10,0.05,0.00501903611,0.710895626
11,0.055,0.006006789501,0.6607937449
12,0.06,0.007064478241,0.6093924948
13,0.065,0.008186648847,0.557307834
14,0.07,0.009367776238,0.5051146865
15,0.075,0.01060232463,0.4533407816
16,0.08,0.01188480335,0.4024625243
17,0.085,0.01320981722,0.3529026152
18,0.09,0.01457211118,0.3050291456
19,0.095,0.01596660928,0.2591559033
20,0.1,0.01738844784,0.2155436422
21,0.105,0.01883300321,0.174402109
22,0.11,0.02029591407,0.1358926393
23,0.115,0.02177309873,0.1001311696
24,0.12,0.02326076764,0.06719154393
25,0.125,0.02475543152,0.03710901018
26,0.13,0.0262539053,0.009883817095
27,0.135,0.02775330833,-0.01451515735
28,0.14,0.02925106111,-0.03614680041
29,0.145,0.03074487897,-0.05509422623
30,0.15,0.03223276305,-0.0714613404
31,0.155,0.03371298906,-0.08536953144
32,0.16,0.03518409419,-0.09695451756
33,0.165,0.03664486251,-0.1063633675
34,0.17,0.03809430921,-0.113751697
35,0.175,0.03953166385,-0.1192810508
36,0.18,0.04095635287,-0.1231164744
37,0.185,0.0423679817,-0.1254242711
38,0.19,0.04376631669,-0.1263699438
39,0.195,0.04515126723,-0.1261163283
40,0.2,0.04652286832,-0.1248219167
41,0.205,0.04788126371,-0.122639376
42,0.21,0.04922668992,-0.1197142676
43,0.215,0.05055946096,-0.116183968
44,0.22,0.05187995411,-0.1121767921
45,0.225,0.0531885966,-0.1078113164
46,0.23,0.05448585331,-0.1031958964
47,0.235,0.05577221553,-0.09842837291
48,0.24,0.05704819081,-0.09359595881
49,0.245,0.05831429377,-0.08877528875
50,0.25,0.05957103815,-0.08403262199
51,0.255,0.06081892987,-0.07942418116
52,0.26,0.06205846105,-0.07499660166
53,0.265,0.06329010509,-0.070787471
54,0.27,0.06451431252,-0.06682594197
55,0.275,0.06573150779,-0.06313340034
56,0.28,0.06694208676,-0.05972416846
57,0.285,0.06814641495,-0.0566062318
58,0.29,0.06934482653,-0.05378197054
59,0.295,0.07053762392,-0.05124887025
60,0.3,0.07172507793,-0.04900020107
61,0.305,0.07290742841,-0.04702565738
62,0.31,0.07408488523,-0.04531194692
