# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 5 --density 0.900 --temperature 0.851 --cutoff 3.0 --skin 0.3 --dt 0.005 --equilibrate 10000 --production 20000 --thermostat none --seed 5006 --rdf-out /Users/vishnu/molecular/results/exp05b_rdf_rho0.900_seed5006.csv --msd-out /Users/vishnu/molecular/results/exp05b_msd_rho0.900_seed5006.csv
# git_sha: dd6f8b8
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# D_msd (Einstein, fit lags [500,1501)): 1.535756809e-05
# D_vacf (Green-Kubo): 0.0001085453167
lag,time,msd,vacf
0,0,0,1
1,0.005,6.487793203e-05,0.9963765037
2,0.01,0.0002590400283,0.9855783027
3,0.015,0.0005810805902,0.9678223087
4,0.02,0.001028688316,0.943456974
5,0.025,0.001598692043,0.9129444631
6,0.03,0.002287121365,0.8768388204
7,0.035,0.003089279207,0.8357623604
8,0.04,0.003999823233,0.7903822528
9,0.045,0.005012852992,0.7413887905
10,0.05,0.006121999957,0.6894762899
11,0.055,0.007320517975,0.6353270775
12,0.06,0.008601372047,0.5795986462
13,0.065,0.009957323785,0.5229138065
14,0.07,0.01138101229,0.4658535199
15,0.075,0.01286502954,0.4089520375
16,0.08,0.01440198964,0.3526939597
17,0.085,0.01598459169,0.2975128561
18,0.09,0.01760567593,0.243791123
19,0.095,0.01925827328,0.1918608032
20,0.1,0.0209356484,0.1420051369
21,0.105,0.02263133627,0.09446065623
22,0.11,0.02433917284,0.04941967234
23,0.115,0.02605331979,0.007033030671
24,0.12,0.02776828401,-0.03258696418
25,0.125,0.02947893195,-0.06936353464
26,0.13,0.03118049942,-0.1032523918
27,0.135,0.03286859715,-0.1342387224
28,0.14,0.03453921248,-0.1623342399
29,0.145,0.03618870773,-0.1875743263
30,0.15,0.03781381546,-0.2100152854
31,0.155,0.03941163114,-0.2297317224
32,0.16,0.0409796034,-0.2468140575
33,0.165,0.04251552238,-0.2613661823
34,0.17,0.04401750622,-0.2735032611
35,0.175,0.04548398617,-0.2833496758
36,0.18,0.04691369053,-0.2910371144
37,0.185,0.04830562752,-0.296702799
38,0.19,0.04965906755,-0.3004878517
39,0.195,0.05097352484,-0.3025357942
40,0.2,0.05224873883,-0.3029911767
41,0.205,0.05348465533,-0.3019983326
42,0.21,0.05468140778,-0.2997002497
43,0.215,0.05583929868,-0.2962375517
44,0.22,0.05695878128,-0.2917475832
45,0.225,0.05804044179,-0.2863635911
46,0.23,0.05908498207,-0.2802139998
47,0.235,0.06009320299,-0.2734217749
48,0.24,0.06106598846,-0.2661038735
49,0.245,0.06200429029,-0.2583707789
50,0.25,0.06290911383,-0.2503261141
51,0.255,0.06378150454,-0.2420663337
52,0.26,0.0646225355,-0.2336804875
53,0.265,0.06543329585,-0.2252500569
54,0.27,0.06621488018,-0.2168488594
55,0.275,0.06696837895,-0.208543021
56,0.28,0.06769486992,-0.2003910155
57,0.285,0.06839541056,-0.1924437676
58,0.29,0.06907103148,-0.1847448152
59,0.295,0.06972273088,-0.1773305275
60,0.3,0.07035146987,-0.1702303687
61,0.305,0.07095816877,-0.1634672049
62,0.31,0.07154370414,-0.1570576459
63,0.315,0.07210890664,-0.1510124155
64,0.32,0.0726545596,-0.1453367446
65,0.325,0.07318139831,-0.1400307804
66,0.33,0.07369010993,-0.1350900079
67,0.335,0.07418133405,-0.1305056832
68,0.34,0.07465566382,-0.1262652771
69,0.345,0.07511364762,-0.1223529278
70,0.35,0.07555579118,-0.118749901
71,0.355,0.07598256004,-0.1154350529
72,0.36,0.07639438236,-0.1123852935
73,0.365,0.07679165193,-0.1095760443
74,0.37,0.07717473139,-0.1069816867
75,0.375,0.07754395553,-0.1045759945
76,0.38,0.07789963471,-0.1023325469
77,0.385,0.07824205828,-0.1002251168
78,0.39,0.07857149801,-0.09822802934
79,0.395,0.07888821141,-0.09631648806
80,0.4,0.07919244498,-0.09446686411
81,0.405,0.07948443729,-0.09265694741
82,0.41,0.07976442185,-0.09086615778
83,0.415,0.08003262975,-0.08907571659
84,0.42,0.08028929206,-0.08726877987
85,0.425,0.08053464197,-0.08543053513
86,0.43,0.08076891674,-0.08354826402
87,0.435,0.08099235932,-0.08161137309
88,0.44,0.08120521975,-0.07961139507
89,0.445,0.08140775629,-0.07754196372
90,0.45,0.08160023628,-0.07539876549
91,0.455,0.08178293661,-0.0731794713
92,0.46,0.08195614411,-0.07088365014
93,0.465,0.08212015558,-0.06851266599
94,0.47,0.08227527758,-0.06606955949
95,0.475,0.08242182609,-0.0635589165
96,0.48,0.08256012586,-0.06098672714
97,0.485,0.08269050966,-0.05836023814
98,0.49,0.08281331731,-0.05568780073
99,0.495,0.08292889466,-0.0529787154
100,0.5,0.08303759238,-0.05024307382
101,0.505,0.0831397647,-0.04749159816
