# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 5 --density 0.900 --temperature 0.851 --cutoff 3.0 --skin 0.3 --dt 0.005 --equilibrate 10000 --production 20000 --thermostat none --seed 5008 --rdf-out /Users/vishnu/molecular/results/exp05b_rdf_rho0.900_seed5008.csv --msd-out /Users/vishnu/molecular/results/exp05b_msd_rho0.900_seed5008.csv
# git_sha: dd6f8b8
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# D_msd (Einstein, fit lags [500,1501)): 3.743697938e-05
# D_vacf (Green-Kubo): 3.262563707e-05
lag,time,msd,vacf
0,0,0,1
1,0.005,6.737315771e-05,0.996283657
2,0.01,0.0002689900327,0.9852147237
3,0.015,0.0006033539019,0.967023552
4,0.02,0.001068005498,0.9420796512
5,0.025,0.001659573404,0.9108721181
6,0.03,0.002373840674,0.8739857782
7,0.035,0.00320582437,0.8320755355
8,0.04,0.004149864499,0.7858411208
9,0.045,0.005199718905,0.7360038576
10,0.05,0.006348660939,0.6832864451
11,0.055,0.007589577182,0.6283962009
12,0.06,0.00891506297,0.5720117976
13,0.065,0.01031751394,0.5147732527
14,0.07,0.01178921228,0.457274789
15,0.075,0.01332240677,0.4000601304
16,0.08,0.01490938593,0.3436197979
17,0.085,0.01654254401,0.2883900154
18,0.09,0.01821443964,0.2347528806
19,0.095,0.01991784713,0.183037514
20,0.1,0.02164580074,0.1335219441
21,0.105,0.023391632,0.08643553382
22,0.11,0.02514900045,0.0419617864
23,0.115,0.02691191835,0.0002414051014
24,0.12,0.0286747695,-0.03862449625
25,0.125,0.03043232287,-0.0745711114
26,0.13,0.03217974124,-0.1075666521
27,0.135,0.03391258554,-0.1376091012
28,0.14,0.03562681508,-0.1647230487
29,0.145,0.03731878415,-0.1889566395
30,0.15,0.03898523548,-0.210378656
31,0.155,0.04062329079,-0.2290757461
32,0.16,0.04223043894,-0.2451498086
33,0.165,0.04380452203,-0.2587155417
34,0.17,0.04534371982,-0.2698981573
35,0.175,0.04684653272,-0.2788312615
36,0.18,0.04831176373,-0.2856548987
37,0.185,0.04973849956,-0.2905137507
38,0.19,0.0511260911,-0.2935554853
39,0.195,0.05247413364,-0.294929246
40,0.2,0.05378244676,-0.2947842736
41,0.205,0.05505105434,-0.2932686542
42,0.21,0.05628016463,-0.2905281867
43,0.215,0.05747015059,-0.2867053618
