# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 5 --density 0.900 --temperature 0.851 --cutoff 3.0 --skin 0.3 --dt 0.005 --equilibrate 10000 --production 20000 --thermostat none --seed 5006 --rdf-out /Users/vishnu/molecular/results/exp05b_rdf_rho0.900.csv --msd-out /Users/vishnu/molecular/results/exp05b_msd_rho0.900.csv
# git_sha: 97661a0
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# frames: 20000
r,g
0.01007036597,0
0.03021109791,0
0.05035182985,0
0.07049256179,0
0.09063329373,0
0.1107740257,0
0.1309147576,0
0.1510554896,0
0.1711962215,0
0.1913369534,0
0.2114776854,0
0.2316184173,0
0.2517591493,0
0.2718998812,0
0.2920406131,0
0.3121813451,0
0.332322077,0
0.352462809,0
0.3726035409,0
0.3927442728,0
0.4128850048,0
0.4330257367,0
0.4531664687,0
0.4733072006,0
0.4934479325,0
0.5135886645,0
0.5337293964,0
0.5538701284,0
0.5740108603,0
0.5941515922,0
0.6142923242,0
0.6344330561,0
0.6545737881,0
0.67471452,0
0.6948552519,0
0.7149959839,0
0.7351367158,0
0.7552774478,0
0.7754181797,0
0.7955589116,0
0.8156996436,0
0.8358403755,0
0.8559811075,0
0.8761218394,1.372573092e-05
0.8962625713,0.0005825601663
0.9164033033,0.007098741701
0.9365440352,0.05027266198
0.9566847672,0.2029151273
0.9768254991,0.5445395649
0.996966231,1.079527738
1.017106963,1.70940432
1.037247695,2.29864508
1.057388427,2.761105245
1.077529159,3.023313996
1.097669891,3.114269594
1.117810623,3.051958938
1.137951355,2.889180284
1.158092087,2.662547416
1.178232819,2.399325842
1.19837355,2.132331321
1.218514282,1.869955554
1.238655014,1.630415301
1.258795746,1.405603995
1.278936478,1.210389754
1.29907721,1.037321542
1.319217942,0.8931514868
1.339358674,0.7680377628
1.359499406,0.664808027
1.379640138,0.5840336729
1.39978087,0.5253983869
1.419921602,0.4847089431
1.440062334,0.4572596723
1.460203066,0.4453632451
1.480343798,0.4456420741
1.50048453,0.4558812993
1.520625261,0.4700045912
1.540765993,0.4883227478
1.560906725,0.5104060225
1.581047457,0.5323525119
1.601188189,0.5509207274
1.621328921,0.5687026708
1.641469653,0.5820656775
1.661610385,0.5929547394
1.681751117,0.6032800264
1.701891849,0.6142941119
1.722032581,0.6331788294
1.742173313,0.6579306845
1.762314045,0.6948974114
1.782454777,0.7462112492
1.802595509,0.8140249413
1.822736241,0.8977458098
1.842876973,0.9922814852
1.863017704,1.095699513
1.883158436,1.198905863
1.903299168,1.298540392
1.9234399,1.387372209
1.943580632,1.456428928
1.963721364,1.504621075
1.983862096,1.529882553
2.004002828,1.533016008
2.02414356,1.5094254
2.044284292,1.471857506
2.064425024,1.422309535
2.084565756,1.362514443
2.104706488,1.297879184
2.12484722,1.235586271
2.144987952,1.17491282
2.165128684,1.117019011
2.185269416,1.066662066
2.205410147,1.021746567
2.225550879,0.9830982811
2.245691611,0.9489138981
2.265832343,0.9195500321
2.285973075,0.8965305747
2.306113807,0.8766728737
2.326254539,0.8625860567
2.346395271,0.8538631999
2.366536003,0.847585075
2.386676735,0.848840814
2.406817467,0.8550989217
2.426958199,0.863722069
2.447098931,0.8774635649
2.467239663,0.892710863
2.487380395,0.9097589234
2.507521127,0.9247296205
2.527661859,0.9378163864
2.54780259,0.9500444244
2.567943322,0.9572140371
2.588084054,0.9570685068
2.608224786,0.9493522801
2.628365518,0.9375663965
2.64850625,0.9201546536
2.668646982,0.8994374678
2.688787714,0.8781941475
2.708928446,0.8554518187
2.729069178,0.8348057087
2.74920991,0.8202433568
2.769350642,0.8131422115
2.789491374,0.8145274111
2.809632106,0.8260111345
2.829772838,0.8472863774
2.84991357,0.8800769564
2.870054302,0.9222402064
2.890195033,0.972154772
2.910335765,1.029226781
2.930476497,1.086991214
2.950617229,1.146215695
2.970757961,1.199902999
2.990898693,1.247886418
3.011039425,1.286224937
3.031180157,1.310646095
3.051320889,1.320601447
3.071461621,1.316618279
3.091602353,1.296033438
3.111743085,1.264959062
3.131883817,1.223476615
3.152024549,1.175214002
3.172165281,1.121490408
3.192306013,1.06732627
3.212446744,1.017803443
3.232587476,0.9709479301
3.252728208,0.9328471672
3.27286894,0.9019647794
3.293009672,0.8802093555
3.313150404,0.8663110525
3.333291136,0.8624546692
3.353431868,0.866807169
3.3735726,0.8763346978
3.393713332,0.8922116392
3.413854064,0.9100848455
3.433994796,0.9286274487
3.454135528,0.9451673848
3.47427626,0.9593275304
3.494416992,0.9707167584
3.514557724,0.9797855341
3.534698456,0.9850548011
3.554839187,0.9852203155
3.574979919,0.9829783673
3.595120651,0.9776497345
3.615261383,0.9700277669
3.635402115,0.9593149847
3.655542847,0.9511340756
3.675683579,0.9401906533
3.695824311,0.930873595
3.715965043,0.9226750942
3.736105775,0.9143047964
3.756246507,0.9081202056
3.776387239,0.9046785158
3.796527971,0.9033107339
3.816668703,0.9042628992
3.836809435,0.9079139192
3.856950167,0.9156580939
3.877090899,0.9264927738
3.89723163,0.9418440337
3.917372362,0.9608110804
3.937513094,0.9835441536
3.957653826,1.011439971
3.977794558,1.040359829
3.99793529,1.071126651
4.018076022,1.103914298
