# command: /Users/vishnu/molecular/build/apps/moldyn_run --cells 5 --density 0.900 --temperature 0.851 --cutoff 3.0 --skin 0.3 --dt 0.005 --equilibrate 10000 --production 20000 --thermostat none --seed 5006 --rdf-out /Users/vishnu/molecular/results/exp05b_rdf_rho0.900_seed5006.csv --msd-out /Users/vishnu/molecular/results/exp05b_msd_rho0.900_seed5006.csv
# git_sha: dd6f8b8
# host: Darwin arm64
# units: reduced Lennard-Jones units (sigma = epsilon = mass = kB = 1)
# frames: 20000
r,g
0.01007036597,0
0.03021109791,0
0.05035182985,0
0.07049256179,0
0.09063329373,0
0.1107740257,0
0.1309147576,0
0.1510554896,0
0.1711962215,0
0.1913369534,0
0.2114776854,0
0.2316184173,0
0.2517591493,0
0.2718998812,0
0.2920406131,0
0.3121813451,0
0.332322077,0
0.352462809,0
0.3726035409,0
0.3927442728,0
0.4128850048,0
0.4330257367,0
0.4531664687,0
0.4733072006,0
0.4934479325,0
0.5135886645,0
0.5337293964,0
0.5538701284,0
0.5740108603,0
0.5941515922,0
0.6142923242,0
0.6344330561,0
0.6545737881,0
0.67471452,0
0.6948552519,0
0.7149959839,0
0.7351367158,0
0.7552774478,0
0.7754181797,0
0.7955589116,0
0.8156996436,0
0.8358403755,0
0.8559811075,0
0.8761218394,2.516384002e-05
0.8962625713,0.0004940285088
0.9164033033,0.007064241189
0.9365440352,0.04816057555
0.9566847672,0.1989714979
0.9768254991,0.5357025587
0.996966231,1.065157602
1.017106963,1.699878495
1.037247695,2.296260544
1.057388427,2.764696294
1.077529159,3.02973406
1.097669891,3.125423751
1.117810623,3.056566375
1.137951355,2.893219938
1.158092087,2.665821291
1.178232819,2.404431018
1.19837355,2.136661691
1.218514282,1.882198487
1.238655014,1.631588431
1.258795746,1.411352155
1.278936478,1.209705361
1.29907721,1.031824432
1.319217942,0.8876620265
1.339358674,0.7634996653
1.359499406,0.6636056836
1.379640138,0.5828103629
1.39978087,0.5244224255
1.419921602,0.4824936658
1.440062334,0.4560911371
1.460203066,0.444136542
1.480343798,0.4435935254
1.50048453,0.4524834781
1.520625261,0.4666172015
1.540765993,0.4880468414
1.560906725,0.5112770244
1.581047457,0.5333665481
1.601188189,0.5520244812
1.621328921,0.5706188644
1.641469653,0.5852753997
1.661610385,0.5958807352
1.681751117,0.604470553
1.701891849,0.6155981906
1.722032581,0.6314754591
1.742173313,0.6562499816
1.762314045,0.6944609173
1.782454777,0.7453968434
1.802595509,0.8130046286
1.822736241,0.8962317985
1.842876973,0.990006709
1.863017704,1.091504305
1.883158436,1.197857587
1.903299168,1.298405148
1.9234399,1.389525684
1.943580632,1.46053342
1.963721364,1.509881335
1.983862096,1.530839153
2.004002828,1.531173864
2.02414356,1.509319109
2.044284292,1.474261836
2.064425024,1.421029146
2.084565756,1.362238033
2.104706488,1.300684982
2.12484722,1.237950978
2.144987952,1.17490595
2.165128684,1.118438164
2.185269416,1.066736897
2.205410147,1.021336791
2.225550879,0.9809909481
2.245691611,0.946590357
2.265832343,0.9190191896
2.285973075,0.894797799
2.306113807,0.8744087389
2.326254539,0.8593167156
2.346395271,0.8505652208
2.366536003,0.8457131956
2.386676735,0.8465066868
2.406817467,0.8521930198
2.426958199,0.8624493532
2.447098931,0.8763762219
2.467239663,0.892654899
2.487380395,0.9111493658
2.507521127,0.9284448908
2.527661859,0.9436805371
2.54780259,0.9536665451
2.567943322,0.9578712475
2.588084054,0.9595477939
2.608224786,0.9527118552
2.628365518,0.9415842531
2.64850625,0.924357843
2.668646982,0.9011642286
2.688787714,0.8781716797
2.708928446,0.8560909781
2.729069178,0.8355660893
2.74920991,0.8206505239
2.769350642,0.812304876
2.789491374,0.8119518002
2.809632106,0.8232089371
2.829772838,0.8439490468
2.84991357,0.8771617465
2.870054302,0.9198122775
2.890195033,0.9705718071
2.910335765,1.027360783
2.930476497,1.087610793
2.950617229,1.147154909
2.970757961,1.201853739
2.990898693,1.248564744
3.011039425,1.285998228
3.031180157,1.309477107
3.051320889,1.318449926
3.071461621,1.314383756
3.091602353,1.296276779
3.111743085,1.266216651
3.131883817,1.22327521
3.152024549,1.174871908
3.172165281,1.122432062
3.192306013,1.068871845
3.212446744,1.016512179
3.232587476,0.9701069396
3.252728208,0.9322139001
3.27286894,0.9006860803
3.293009672,0.8785982484
3.313150404,0.865972628
3.333291136,0.8619878002
3.353431868,0.8663936742
3.3735726,0.8764131567
3.393713332,0.8917400534
3.413854064,0.9102933044
3.433994796,0.9280335847
3.454135528,0.9452545896
3.47427626,0.9617376202
3.494416992,0.9729998472
3.514557724,0.9815000327
3.534698456,0.9871480614
3.554839187,0.988125979
3.574979919,0.9854398729
3.595120651,0.9796393264
3.615261383,0.9720349542
3.635402115,0.9618589103
3.655542847,0.9524153861
3.675683579,0.9407793686
3.695824311,0.9319082525
3.715965043,0.9222199493
3.736105775,0.9138594517
3.756246507,0.9077350701
3.776387239,0.9030024761
3.796527971,0.9012755455
3.816668703,0.9019476414
3.836809435,0.9067236796
3.856950167,0.9129638023
3.877090899,0.9243788466
3.89723163,0.939420601
3.917372362,0.9584090131
3.937513094,0.9819157739
3.957653826,1.008084262
3.977794558,1.037949665
3.99793529,1.070128031
4.018076022,1.102375469
