# command: ./build/apps/water_rdf --out results/water_rdf.csv
# git_sha: 7d4cbb4-dirty
# host: Darwin arm64
# model: SPC/E, rigid (SHAKE/RATTLE), Ewald alpha=5.6/L kmax=5 rcut=10 A
# molecules: 300
# box_length_angstrom: 20.802
# density_g_per_cm3: 0.997
# target_temperature_K: 298
# mean_production_temperature_K: 294.414
# dt_fs: 2
# equilibration_steps: 15000
# production_steps: 10000
# rdf_frames: 1000
# bin_width_angstrom: 0.05
# first_peak_bin_r_angstrom: 2.775
# first_peak_bin_g: 3.04588
# first_peak_r_angstrom: 2.75167
# first_peak_g: 3.08471
# reference_first_peak_r_angstrom: 2.75
# reference_first_peak_g: 3.0
# tail_mean_g_beyond_8.5A: 1.00014
# wall_seconds: 434.687
r_angstrom,g_oo
0.025,0
0.075,0
0.125,0
0.175,0
0.225,0
0.275,0
0.325,0
0.375,0
0.425,0
0.475,0
0.525,0
0.575,0
0.625,0
0.675,0
0.725,0
0.775,0
0.825,0
0.875,0
0.925,0
0.975,0
1.025,0
1.075,0
1.125,0
1.175,0
1.225,0
1.275,0
1.325,0
1.375,0
1.425,0
1.475,0
1.525,0
1.575,0
1.625,0
1.675,0
1.725,0
1.775,0
1.825,0
1.875,0
1.925,0
1.975,0
2.025,0
2.075,0
2.125,0
2.175,0
2.225,0
2.275,0
2.325,0
2.375,5.64392e-05
2.425,0.00200303
2.475,0.0304548
2.525,0.221552
2.575,0.762345
2.625,1.70376
2.675,2.56379
2.725,3.03396
2.775,3.04588
2.825,2.70106
2.875,2.23791
2.925,1.80845
2.975,1.45239
3.025,1.20216
3.075,1.02719
3.125,0.91915
3.175,0.845711
3.225,0.807661
3.275,0.788353
3.325,0.779738
3.375,0.783805
3.425,0.796423
3.475,0.8018
3.525,0.817212
3.575,0.844805
3.625,0.850588
3.675,0.881346
3.725,0.899281
3.775,0.919672
3.825,0.938543
3.875,0.959597
3.925,0.981223
3.975,0.991994
4.025,1.01382
4.075,1.03451
4.125,1.05724
4.175,1.06916
4.225,1.08756
4.275,1.09355
4.325,1.09885
4.375,1.10511
4.425,1.12192
4.475,1.12409
4.525,1.12265
4.575,1.12045
4.625,1.122
4.675,1.11066
4.725,1.1114
4.775,1.08927
4.825,1.0914
4.875,1.06742
4.925,1.05581
4.975,1.03954
5.025,1.02659
5.075,1.00525
5.125,0.993266
5.175,0.970635
5.225,0.962398
5.275,0.954011
5.325,0.943196
5.375,0.935471
5.425,0.917604
5.475,0.906518
5.525,0.902585
5.575,0.888865
5.625,0.886837
5.675,0.894015
5.725,0.902032
5.775,0.901277
5.825,0.908774
5.875,0.92357
5.925,0.921723
5.975,0.936851
6.025,0.947571
6.075,0.956554
6.125,0.960188
6.175,0.975042
6.225,0.980786
6.275,0.993703
6.325,1.00324
6.375,1.0102
6.425,1.01972
6.475,1.02199
6.525,1.03386
6.575,1.04203
6.625,1.04223
6.675,1.04122
6.725,1.05084
6.775,1.04881
6.825,1.04774
6.875,1.05001
6.925,1.04898
6.975,1.04475
7.025,1.04704
7.075,1.04141
7.125,1.04036
7.175,1.0374
7.225,1.03285
7.275,1.02721
7.325,1.01876
7.375,1.01378
7.425,1.01008
7.475,1.00824
7.525,0.998088
7.575,1.00151
7.625,0.995374
7.675,0.990143
7.725,0.988736
7.775,0.982301
7.825,0.984778
7.875,0.985552
7.925,0.979618
7.975,0.981854
8.025,0.982046
8.075,0.98249
8.125,0.987125
8.175,0.984705
8.225,0.985354
8.275,0.986226
8.325,0.98831
8.375,0.99107
8.425,0.995299
8.475,0.994117
8.525,0.995247
8.575,0.997187
8.625,0.997141
8.675,0.998845
8.725,0.997421
8.775,1.00454
8.825,1.00192
8.875,0.998884
8.925,0.997551
8.975,1.00165
9.025,0.999301
9.075,0.999109
9.125,1.00085
9.175,1.00259
9.225,1.00364
9.275,1.00375
9.325,1.00328
9.375,0.999687
9.425,1.00396
9.475,0.999091
9.525,0.996195
9.575,0.999649
9.625,1.00318
9.675,1.00201
9.725,1.00105
9.775,1.0017
9.825,0.996847
9.875,0.997741
9.925,0.999988
9.975,1.00005
